title,series,authors,isbn,genres,description,pages,year,language,cover_image,total_number_ratings,average_rating,book_url
Wake Up Call,,['Victoria Ashley'],9781490906133,"['Romance', 'New Adult', 'Contemporary', 'Sociology', 'Abuse', 'Contemporary Romance', 'Business', 'Amazon', 'Adult Fiction', 'Erotica', 'Adult', 'Erotic Romance', 'Love']","My heart stopped and suddenly it was hard to breathe. His voice always had that effect on me. It was like a poison slowly running through my veins, killing me bit by bit. Like a drug that I couldn't get enough of, even though I was almost down to my last breath.Jace took a step forward and grabbed my hand. He slowly trailed his fingers over my face and backed me into the wall. My heart stopped again if that was even possible. ""You can't leave,"" he whispered. ""I need you."" His warm breath kissed my lips as he bit his bottom lip and placed both of his hands around my face. They were warm and soft to the touch. Too big for my fragile face; although, I wanted to bury myself in them. ""Breathe. There is no one here but the two of us. Breathe,"" he whispered.Avery Hale had spent her whole childhood abused by her drunken, drugged-up parents. Broken from a lifetime of hatred and pain, she grew up realizing that trust and love just didn't exist. Not in her world at least. After turning the age of eighteen, she packed up and moved far away, determined to escape her painful past and start a new life for herself. Once on her own, she comes to the conclusion that emptiness still exists. In order to survive, she found herself mixed up in exotic dancing and meaningless sexual relationships, numb to any emotion, for anyone. She was sure that her life was worthless and there was nothing left for her, this was the best it would get.After meeting a beautiful stranger, her life suddenly is turned upside down. Everything she believed suddenly gets questioned. She is left to figure out if there is really more to her than she could ever have imagined.Jace, having some secrets of his own, puts the pain of his own past behind to do what he can to help Avery. Can the love of another broken person be enough to help Avery, or is she already too far gone?Avery's life is pulled in many directions as she tries to find herself, and not everyone and thing is what they seem to be in this story of love, trust, and opening up. Finding herself and learning to love herself might just be the hardest thing she's ever had to do.",248,2013,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1378764720l/18364031.jpg,"2,679",3.8,https://www.goodreads.com/book/show/18373208-the-smoke-at-dawn
Runaway Bullet,Runaway #3,['Nicole Clark'],,[],"Strong, silent, and the one most likely to kill without giving a reason.Jon is the only founding member of the Demon Reaper Motorcycle Club that everyone fears. He always says what's on his mind and when he says something, he means it. Those aren't threats that are popping out of his mouth, they're promises.When Jon meets the redhead of his dreams, everything about him changes. He suddenly understands what Josh said when he'd do anything for Clarisse. But, when Jon's newfound discovery of love is threatened by someone from her past, will he be able to save her or will he lose the one woman who changed him?**For 18+ only. Contains mature content as well as some content that may upset younger audiences**",0,2014,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391747721l/20745973.jpg,15,3.8,https://www.goodreads.com/book/show/18373208-the-smoke-at-dawn
Night is Falling,,['Mariam Arif'],9789948158,[],"In a place far from the cruelty and injustice of our world, a group of islanders who had been hidden for many centuries live. Their island is called Al Salam, meaning peace; for they know nothing of the corrupted minds and souls of those beyond the ocean.On this island lives a doubtful boy named Adam, who discloses a shocking secret about his island. No sooner had he started to understand the truth, that dozens of ships locate his dear island and make their way to invade his home.Adam and the islanders have no choice but to fight back. They witness the barbarism that conquers the spirits of those who came from beyond. They watch as their home slowly turns into ruin.Adam's loyalty, pride, and dignity were not to fall to the ground. He knows that Al Salam is the only pure place left in the world, and he isnt prepared to let it fall into the hands of such pitiless creatures.The fact is, before any of us can judge this book, we must ponder upon a very important matter. Is this story exaggerated? Is it really that far from the truth?",0,1397,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1393318832l/20902330.jpg,3,4.67,https://www.goodreads.com/book/show/18373208-the-smoke-at-dawn
Petits Meurtres Entre Moines,Les Nouvelles Enquêtes du juge Ti #4,['Frédéric Lenormand'],9782213622484,['Mystery'],"A peine arrivé dans le monastère taoïste où l’a conduit une procédure de routine, Ti est confronté à une série inexplicable de suicides parmi les moines. Très vite, il est frappé par l’ambiance délétère d’un lieu où le fantastique côtoie la réalité, où les rêves sont vénérés à l’égal de révélations sacrées. En dépit des efforts d’un abbé anxieux de le voir s’en aller, Ti met au jour les mille péchés petits et grands de cette congrégation hors du commun.De son côté, Mme Ti, la première de ses trois épouses, mène sa propre enquête dans le couvent de nonnes bouddhistes situé sur une colline voisine, où son mari l’a envoyée soigner ses nerfs.Après avoir découvert qu’aucune des deux communautés ne l’emporte sur l’autre en matière de secrets et de mensonges, Ti se heurte à l’une des plus ingénieuses machinations de sa carrière de magistrat.L’auteur ressuscite la Chine policée et baroque des Tang, en compagnie d’un juge Ti plein de verve et de malice.",223,2004,French,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358120690l/3166997.jpg,28,3.82,https://www.goodreads.com/book/show/18373208-the-smoke-at-dawn
Once Upon A Zombie,,['Storm Stoker'],1611605385,[],"What would you do if you turned on the news tomorrow morning and learned there was a Zombie Apocalypse?There are at least seven people who would not be surprised. In fact, they've been waiting their whole lives for this event. These over-educated, under-employed misfits have spent years watching old horror films about zombies, playing zombie video games and discussing what they would do if zombies invaded. They are ready.In the real world, they are labeled as freaks and outcasts. They have dead-end jobs and are looked down on by their families and society. The real world is about to end. Is it possible the least likely people to survive in the normal world could triumph in a zombie apocalypse? Is this their chance to move from the bottom to the top of the food chain?",158,2012,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387765055l/19716566.jpg,4,4.0,https://www.goodreads.com/book/show/18373208-the-smoke-at-dawn
Thin Skin Soul Pinned,,['Mila A. Ballentine'],9780979417238,[],None,216,2012,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1343445470l/15773896.jpg,8,4.5,https://www.goodreads.com/book/show/18373208-the-smoke-at-dawn
"The Party Is Over: How Republicans Went Crazy, Democrats Became Useless, and the Middle Class Got Shafted",,['Mike Lofgren'],9780670026265,"['Politics', 'Nonfiction', 'History', 'Political Science', 'Economics', 'United States', 'Cultural', 'North American Hi...', 'American History', 'Social Issues', 'Book Club']","The ""New York Times"" bestselling expose of what passes for business as usual in Washington todayThere was a time, not so very long ago, when perfectly rational people ran the Republican Party. So how did the party of Lincoln become the party of lunatics? That is what this book aims to answer. Fear not, the Dems come in for their share of tough talk they are zombies, a party of the living dead.Mike Lofgren came to Washington in the early eighties those halcyon, post Nixonian glory days for what he imagined would be a short stint on Capitol Hill. He has witnessed quite a few low points in his twenty-eight years on the Hill but none quite so pitiful as the antics of the current crop of legislators whom we appear to have elected.Based on the explosive article Lofgren wrote when he resigned in disgust after the debt ceiling crisis, ""The Party Is Over ""is a funny and impassioned expose of everything that is wrong with Washington. Obama and his tired cohorts are no angels but they have nothing on the Republicans, whose wily strategists are bankrupting the country one craven vote at a time. Be prepared for some fireworks.""",232,2012,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442702995l/13589129._SY475_.jpg,"1,026",3.97,https://www.goodreads.com/book/show/18373208-the-smoke-at-dawn
"Mythbusting the Cult of Confucius: What the Chinese Really Are, How to Understand Them and Why We Need to",,['Wayne Deeker'],9781626520011,"['Cultural', 'China', 'Anthropology', 'Nonfiction', 'Politics', 'History', 'Education']","China is ever-more important to western countries, yet remains shrouded in myth. This book is the first to part those myths and demystify the realities of Chinese ways. Western people need to know because Chinese traits and values, combined with China's modern power, now literally affect all. This book examines the ancient origins of Chinese thinking in Confucianism and consequences for the modern world: it is especially relevant to business and government relations with China, also to educational and immigration issues. Yet it contains far more than warnings alone. Above all, it shows ways western people might learn from Chinese people, and to compassionately help them break free of their past.",620,2013,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366558775l/17824064.jpg,10,4.7,https://www.goodreads.com/book/show/18373208-the-smoke-at-dawn
Stand Tough,,['B. Neil Brown'],9781311632340,[],"Stand Tough is the true life story of one man's fight against a rare illness and multiple limb loss.When Neil was only twenty seven he was diagnosed with a rare auto-immune disorder called Behcet's Disease. With a son, a full time career, and a part time role as a hometown Fire Fighter/EMT he didn't have time to be sick, so he pushed through it all.....Until a simple misdiagnosis of a sore throat cost him his legs and all the fingers of his dominate hand.Follow Neil's journey from tragedy to triumph as he stands tough against the odds and continues to live his life, even without legs!",230,2014,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1384278698l/18775517.jpg,19,4.89,https://www.goodreads.com/book/show/18373208-the-smoke-at-dawn
,None,None,,[],None,None,2013,,,,,https://www.goodreads.com/book/show/18373208-the-smoke-at-dawn
