title,series,authors,isbn,genres,description,pages,year,language,cover_image,total_number_ratings,average_rating,book_url
Swing Time,,['Zadie Smith'],9780241144152,"['Fiction', 'Contemporary', 'Literary Fiction', 'Novels', 'Audiobook', 'Cultural', 'Africa', 'European Literature', 'British Literature', 'Race', 'Adult Fiction', 'Adult']","Two brown girls dream of being dancers—but only one, Tracey, has talent. The other has ideas: about rhythm and time, about black bodies and black music, about what constitutes a tribe, or makes a person truly free. It's a close but complicated childhood friendship that ends abruptly in their early twenties, never to be revisited, but never quite forgotten, either.Dazzlingly energetic and deeply human, Swing Time is a story about friendship and music and stubborn roots, about how we are shaped by these things and how we can survive them. Moving from northwest London to West Africa, it is an exuberant dance to the music of time.",453,2016,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1514344635l/28390369._SY475_.jpg,"66,866",3.56,https://www.goodreads.com/book/show/2544.The_Madman
The Invisible Life of Addie LaRue,,['V.E. Schwab'],9780765387561,"['Fantasy', 'Fiction', 'Historical', 'Historical Fiction', 'Romance', 'Adult', 'Audiobook', 'LGBT', 'Magical Realism', 'Paranormal']","A Life No One Will Remember. A Story You Will Never Forget.France, 1714: in a moment of desperation, a young woman makes a Faustian bargain to live forever and is cursed to be forgotten by everyone she meets.Thus begins the extraordinary life of Addie LaRue, and a dazzling adventure that will play out across centuries and continents, across history and art, as a young woman learns how far she will go to leave her mark on the world.But everything changes when, after nearly 300 years, Addie stumbles across a young man in a hidden bookstore and he remembers her name.",442,2020,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1584633432l/50623864.jpg,"407,762",4.25,https://www.goodreads.com/book/show/2544.The_Madman
SAV RAKARA,,['Juddy Anderson C. Punzalan'],,[],"The stellar career of Villian Dameheart Ministry was about to end.The former editor-in-chief of T&M Media was removed by her own company after she put out a controversial article that condemns a few alleged corrupt personalities who were running for office including the prominent Gallafort family who co-owns the media network.Depressed and frustrated, she goes on a long vacation and accidentally meets one of the younger members of the Gallafort family, Redstart. They develop an unlikely friendship as they discover the secrets of an old book that came from another world.",0,2021,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1619914063l/57914235._SY475_.jpg,132,4.65,https://www.goodreads.com/book/show/2544.The_Madman
Cadillac Desert: The American West and Its Disappearing Water,,['Marc Reisner'],9780140178241,"['Nonfiction', 'History', 'Environment', 'Science', 'Politics', 'Nature', 'North American Hi...', 'American History', 'Westerns', 'Biology', 'Ecology', 'Economics']","The story of the American West is the story of a relentless quest for a precious resource: water. It is a tale of rivers diverted and dammed, of political corruption and intrigue, of billion-dollar battles over water rights, of ecologic and economic disaster. InCadillac DesertMarc Reisner writes of the earliest settlers, lured by the promise of paradise, and of the ruthless tactics employed by Los Angeles politicians and business interests to ensure the city's growth. He documents the bitter rivalry between two government giants, the Bureau of Reclamation and the U.S. Army Corps of Engineers, in the competition to transform the West.Based on more than a decade of research,Cadillac Desertis a stunning expose and a dramatic, intriguing history of the creation of an Eden—an Eden that may be only a mirage.",582,1986,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388189076l/56140.jpg,"9,399",4.27,https://www.goodreads.com/book/show/2544.The_Madman
Need,Need #1,['Carrie Jones'],9781599903385,"['Young Adult', 'Fantasy', 'Paranormal', 'Romance', 'Shapeshifters', 'Werewolves', 'Fairies', 'Paranormal Romance', 'Fae', 'Supernatural', 'Urban Fantasy']","Pain shoots through my head. Fireworks. Explosions. All inside my brain. The white world goes dark and I know what's about to happen.Zara White suspects there's a freaky guy semi-stalking her. She's also obsessed with phobias. And it's true, she hasn't exactly been herself since her stepfather died. But exiling her to shivery Maine to live with her grandmother? That seems a bit extreme. The move is supposed to help her stay sane...but Zara's pretty sure her mom just can't deal with her right now.She couldn't be more wrong. Turns out the semi-stalker is not a figment of Zara's overactive imagination. In fact, he's still following her, leaving behind an eerie trail of gold dust. There's something not right - not human - in this sleepy Maine town, and all signs point to Zara.In this creepy, compelling breakout novel, Carrie Jones delivers romance, suspense, and a creature you never thought you'd have to fear.",306,2008,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436293030l/4070493._SX318_.jpg,"63,779",3.71,https://www.goodreads.com/book/show/2544.The_Madman
,None,None,,[],None,None,,,,,,https://www.goodreads.com/book/show/2544.The_Madman
The Spirit Level: Why More Equal Societies Almost Always Do Better,,"['Richard G. Wilkinson', 'Kate E. Pickett']",9781846140396,"['Nonfiction', 'Politics', 'Economics', 'Sociology', 'Philosophy', 'Culture', 'Society', 'Science', 'Social Science', 'Psychology', 'Social Movements', 'Social Justice']","A groundbreaking work on the root cause of our ills, which is changing the way politicians think. Why do we mistrust people more in the UK than in Japan? Why do Americans have higher rates of teenage pregnancy than the French? What makes the Swedish thinner than the Greeks? The answer: inequality. This groundbreaking book, based on years of research, provides hard evidence to show how almost everything—-from life expectancy to depression levels, violence to illiteracy-—is affected not by how wealthy a society is, but how equal it is. Urgent, provocative and genuinely uplifting,The Spirit Levelhas been heralded as providing a new way of thinking about ourselves and our communities, and could change the way you see the world.",330,2009,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408314294l/6304389.jpg,"5,969",4.12,https://www.goodreads.com/book/show/2544.The_Madman
,None,None,,[],None,None,1915,,,,,https://www.goodreads.com/book/show/2544.The_Madman
The Indigo Spell,Bloodlines #3,['Richelle Mead'],9781595143198,"['Young Adult', 'Paranormal', 'Vampires', 'Fantasy', 'Romance', 'Magic', 'Urban Fantasy', 'Supernatural', 'Paranormal Romance', 'Fiction']","In the aftermath of a forbidden moment that rocked Sydney to her core, she finds herself struggling to draw the line between her Alchemist teachings and what her heart is urging her to do. Then she meets alluring, rebellious Marcus Finch--a former Alchemist who escaped against all odds, and is now on the run. Marcus wants to teach Sydney the secrets he claims the Alchemists are hiding from her. But as he pushes her to rebel against the people who raised her, Sydney finds that breaking free is harder than she thought. There is an old and mysterious magic rooted deeply within her. And as she searches for an evil magic user targeting powerful young witches, she realizes that her only hope is to embrace her magical blood--or else she might be next.",401,2013,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1588127441l/8709526._SY475_.jpg,"101,992",4.33,https://www.goodreads.com/book/show/2544.The_Madman
الرحيق المختوم,,['Safiur Rahman Mubarakpuri'],9795920952,"['Religion', 'Islam', 'History', 'Biography', 'Nonfiction', 'Spirituality', 'Historical', 'Unfinished']","الرحيق المختومبحث في السيرة النبوية.تأليف: الشيخ صفي الرحمن المباركفوري.قُدِّم في مسابقة رابطة العالم الإسلامي في السيرة النبوية الشريفة، وحاز البحث على المركز الأول.""ومن منهجي في هذا الكتاب ـ عدا ما جاء في إعلان الرابطة ـ أني قررت سلوك سبيل الاعتدال، متجنبًا التطويل الممل والإيجاز المخل، وقد وجدت المصادر تختلف فيما بينها حول كثير مما يتعلق بالأحداث اختلافًا لا يحتمل الجمع والتوفيق، فاخترت سبيل الترجيح، وأثبت في الكتاب ما ترجح لدي بعد التدقيق في الدراسة والنقد، إلا أني طويت ذكر الدلائل والوجوه؛ لأن ذلك يفضي إلى طول غير مطلوب‏.أما بالنسبة لقبول الروايات وردها فقد استفدت في ذلك مما كتبه الأئمة المتقنون، واعتمدت عليهم فيما حكموا به من الصحة والحسن والضعف؛ إذ لم أجد وقتًا يكفي للخوض في هذا المجال‏.‏وقد أشرت في بعض المواضع إلى بعض الدلائل ووجوه الترجيح، وذلك حينما خِفْتُ الاستغراب ممن يقرأ الكتاب، أو رأيت شبه الاتفاق فيما بين الأولين والآخرين على خلاف ما هو الصواب‏.‏ والله ولي التوفيق‏.‏""الجمعة المباركة24/7/1396هـ23/7/1976مصفي الرحمن المباركفوريالجامعة السلفيةبنارس - الهند",498,1979,Arabic,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1289025514l/545425.jpg,"19,137",4.59,https://www.goodreads.com/book/show/2544.The_Madman
