title,series,authors,isbn,genres,description,pages,year,language,cover_image,total_number_ratings,average_rating,book_url
Growing up Wired,,['David Wallace Fleming'],9780989124713,"['Fiction', 'Young Adult']","Beautifulwomen...JPEGS, recreationaldrugs...pharmaceuticals, and elitefraternities...websites- this isn't the college scene that Victor Hastings expected.Victor likes to admire the provocative pictures of the girls he's dating. Meanwhile, these girls are posting more and more on Facebook and all the social sites. Now, all the men in his fraternity are competing for the attention of these online, amateur pinups.Three women will make an impact on Victor. Erin Masters is an alluring yet naïve co-ed. Despite outward modesty, she has no reservations about letting friends plaster her provocative images across various websites. Emily Green-Portsmith, on the other hand, comes from wealth and is comparatively more aware of her effect on men.The influence of these women does not sit well with the house mother of these fraternity boys. Affectionately known as Ma Red, this feisty former Vietnam correspondent from the old-school of etiquette and discipline is prepared to make a fight for her traditional values.And throughout these discoveries, Victor wonders:What kind of love is this?... the wired kind.[image]",244,2011,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1324243364l/12034790.jpg,61,3.56,https://www.goodreads.com/book/show/18383197-the-leopard-vanguard
How To Get A Boyfriend,,['Heather J. Holland'],,[],"This is one for the Single Ladies!If you’re fed up of being single, tired of not having a date on a Friday night, sick of seeing all these OTHER girls dating great guys whilst you're left on the shelve? Then this Cool Chicks Guide on to How To Get A Boyfriend – is exactly what you need!Hi, my name is Heather, and I USED to be in the exact same position you find yourself in now. SINGLE. I got to the stage where I said: ENOUGH IS ENOUGH!I spent quite a few years perfecting a technique which basically CHANGED MY DATING LIFE FOR EVER!!This technique provided me with A CHOICE of good, available men that were COMPLETELY BESOTTED with me!I've shared this technique with MANY women over the years that have ALL had GREAT success and ended up dating dreamy guys - Really Quickly!! I LOVE hearing stories from women who have followed my technique and found that GREAT BOYFRIEND!And now, this easy to follow technique is finally available in eBook format!If you REALLY want to find out how to get a BOYFRIEND - not just any old boyfriend, but a REALLY good one, - then you REALLY need to follow this guide!IT WILL CHANGE YOUR DATING LIFE FOREVER!!",47,2013,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1359572257l/17306515.jpg,20,4.1,https://www.goodreads.com/book/show/18383197-the-leopard-vanguard
One Glorious Ambition: The Compassionate Crusade of Dorothea Dix,,['Jane Kirkpatrick'],9781400074310,"['Historical', 'Historical Fiction', 'Fiction', 'Christian Fiction', 'Mental Health', 'Mental Illness', 'Health', 'Christian', 'Psychology', 'Literature', '19th Century', 'Religion', 'Christianity']","One dedicated woman...giving voice to the suffering of manyBorn to an unavailable mother and an abusive father, Dorothea Dix longs simply to protect and care for her younger brothers, Charles and Joseph. But at just fourteen, she is separated from them and sent to live with relatives to be raised properly. Lonely and uncertain, Dorothea discovers that she does not possess the ability to accept the social expectations imposed on her gender and she desires to accomplish something more than finding a suitable mate.Yearning to fulfill her God-given purpose, Dorothea finds she has a gift for teaching and writing. Her pupils become a kind of family, hearts to nurture, but long bouts of illness end her teaching and Dorothea is adrift again. It’s an unexpected visit to a prison housing the mentally ill that ignites an unending fire in Dorothea’s heart—and sets her on a journey that will take her across the nation, into the halls of the Capitol, befriending presidents and lawmakers, always fighting to relieve the suffering of what Scripture deems, the least of these.In bringing nineteenth-century, historical reformer Dorothea Dix to life, author Jane Kirkpatrick combines historical accuracy with the gripping narrative of a woman who recognized suffering when others turned away, and the call she heeded to change the world.",400,2013,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348791635l/15798372.jpg,451,3.68,https://www.goodreads.com/book/show/18383197-the-leopard-vanguard
Rockapocalypse: A Disharmony of Justice,,['Byron Suggs'],9781938679018,"['Mystery', 'Fantasy', 'Paranormal']","1974 - It started out as a typical summer in a small southern town for 15-yr old Pete Travers and his friends, until the real rock stars showed up. Real dead that is. When bizarre occurrences, unexplained disappearances, and outpourings of prejudice become frequent in Harper's Mill, the four friends discover they've been destined for a gig far more challenging than anything they ever imagined. The rockers join forces with the four teens to rid the town of a hatred so intense, it has bred its own evil in the most unlikely of places. But will they succeed?2011 - Thirty-seven years later, record industry mogul Peter Travers lies in a coma as the result of a horrific auto accident. As he teeters between life and death, he relives the life-changing events from the past in his mind. When his friends reunite to stand watch and offer their support, they realize Peter's auto crash was no accident. They also discover that the powers that saved them all those years ago have returned. But the question that burns in their hearts is: Why? The power of music's timeless message, the bonds of friendship, and a gift from God culminate in a cataclysmic battle that reaches to the gates of heaven. Is their faith strong enough to protect Peter and his family from the evil force that struggles to claim what he deems rightfully his - Peter's very soul?",312,2012,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347395839l/16003659.jpg,39,4.41,https://www.goodreads.com/book/show/18383197-the-leopard-vanguard
,None,None,,[],None,None,2013,,,,,https://www.goodreads.com/book/show/18383197-the-leopard-vanguard
Emocije,,['Zoran Milivojević'],9788676397853,['Psychology'],None,756,2004,Serbian,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1259448916l/7217186.jpg,112,4.56,https://www.goodreads.com/book/show/18383197-the-leopard-vanguard
,None,None,,[],None,None,2013,,,,,https://www.goodreads.com/book/show/18383197-the-leopard-vanguard
Rigged Game,,['John Hively'],9781551642802,[],"Using statistics from the Department of Commerce and other sources, and beginning with the Great Depression, John Hively traces how recessions begin, how corporations and financial markets are interconnected, and describes the consequences of current distribution of wealth and income practices. By clarifying how the economy actually functions (which is radically different than what we have been led to believe), and through the subject of financial markets, globalization, CEO billionaires, and big corporations, with the scandals and the in-trading, he is able to show that if these trends continue to unfold, the growing income gap will prove to be a destabilizing factor in society.John Hivelystudied economics at the University of Tennessee and has been a freelance writer forBusiness Journal.",224,2005,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328759162l/797427.jpg,4,3.75,https://www.goodreads.com/book/show/18383197-the-leopard-vanguard
3rd Generation and Beyond,,['Danna Pycher'],9781480284777,"['Nonfiction', 'History', 'World War II', 'Holocaust']","""Yesterday's lessons, for tomorrow's future..."" 3rd Generation and Beyond is a book of powerful life philosophies according to a Third Generation Holocaust descendant. Each chapter gives a little more insight into how we, as individuals, can empower ourselves and the world around us. Back of book: By this time, you would think we would have learned our lesson. By now, you would think humankind would have found a way to live together peacefully. For some reason that is not the case. 3rd Generation takes us on a journey through the perspective of a young woman who wants to know why we can't seem to find common ground. Her insightful life philosophies are all inspired by her view of the world as a Third Generation descendant of the Holocaust. Her grandparents experienced the worst of times, yet still held onto the belief that life can and should be beautiful. Their life lessons will help you discover how we can all create a better world. ... a treasure of inspiring, thoughtful life lessons interwoven with what Danna learned from her grandparents who were Holocaust survivors.",154,2013,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1359386205l/17294833.jpg,18,4.11,https://www.goodreads.com/book/show/18383197-the-leopard-vanguard
,None,None,,[],None,None,2013,,,,,https://www.goodreads.com/book/show/18383197-the-leopard-vanguard
Stony Creek Cowboy,Stony Creek #1,['Taylor Berke'],9781622423057,"['Romance', 'Adult Fiction', 'Erotica', 'Contemporary', 'Westerns', 'Erotic Romance']","[Siren Classic: Erotic Cowboy Romance, HEA]Dr. Billie Rothman, a beautiful, widowed MD, leaves all that she knows behind, attempting to follow her dreams to Stony Creek, Wyoming. She is yearning for the passionate life she wanted to live after a safe marriage to her best friend.Jackson Powell, a huge, handsome cowboy, literally saves her life soon after she arrives in town. After being married to a selfish and superficial woman, he decides that women are simply for his pleasure and to ranch alongside him and his family, never expecting the bundle of sensual energy that punches him in the gut after meeting his new neighbor.While getting to know each other, both these wounded souls cannot ignore the instant attraction or the pulling of their hearts, but in the background lurk several individuals who yearn to teach them both lessons in pain and revenge. Unfortunately Jackson’s ex-wife and a jealous acquaintance from his past try to hurt both of them physically and psychologically.A Siren Erotic Romance",217,2013,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1357525795l/17213911.jpg,135,3.84,https://www.goodreads.com/book/show/18383197-the-leopard-vanguard
جدد حياتك,,['محمد الغزالي'],9771425811,"['Religion', 'Islam', 'Self Help', 'Nonfiction', 'Philosophy', 'Psychology', 'Spirituality', 'Personal Development', 'International Dev...', 'Human Development', 'Unfinished']",«فى هذا الكتاب مقارنة بين تعاليم الإسلام كما وصلت إلينا، وبين أصدق ما وصلت إليه حضارة الغرب فى أدب النفس والسلوك فى محاولة للكشف عن روعة التقارب وصدق التطابق» .. هذه بعض كلمات المؤلف التى عبر بها عن سبب كتابته لهذا العمل الفريد، خاصة بعد قراءته لكتاب «دع القلق وابدأ الحياة» لديل كارنيجى وقد اعتمد فى هذا العمل على جانبين رئيسين: فهو يعرض نصوص وأحكام الإسلام ويقابل بها كتابات وتجارب وشواهد كارنيجى .. تأكيدًا لقيمة الإسلام ومنهجه فى التعامل مع النفس البشرية فمن القلق إلى الثبات إلى العمل إلى مشكلات الفراغ إلى محاسبة النفس وغيرها حيث تتنوع موضوعات هذا الكتاب تنوعًا ممتعًا.,236,1987,Arabic,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1214487091l/3553395.jpg,"10,486",4.2,https://www.goodreads.com/book/show/18383197-the-leopard-vanguard
Birds of Paradise Lost,,['Andrew Lam'],9781597092685,"['Short Stories', 'Fiction', 'War', 'Realistic Fiction', 'Adult Fiction']","*Finalist for the California Book Award*The thirteen stories inBirds of Paradise Lostshimmer with humor and pathos as they chronicle the anguish and joy and bravery of America’s newest Americans, the troubled lives of those who fled Vietnam and remade themselves in the San Francisco Bay Area. The past—memories of war and its aftermath, of murder, arrest, re-education camps and new economic zones, of escape and shipwreck and atrocity—is ever present in these wise and compassionate stories. It plays itself out in surprising ways in the lives of people who thought they had moved beyond the nightmares of war and exodus. It comes back on TV in the form of a confession from a cannibal; it enters the Vietnamese restaurant as a Vietnam Vet with a shameful secret; it articulates itself in the peculiar tics of a man with Tourette’s Syndrome who struggles to deal with a profound tragedy.Birds of Paradise Lostis an emotional tour de force, intricately rendering the false starts and revelations in the struggle for integration, and in so doing, the human heart.",216,2012,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351738845l/15953645.jpg,178,4.19,https://www.goodreads.com/book/show/18383197-the-leopard-vanguard
ഉണ്ണിക്കുട്ടന്റെ ലോകം | Unnikuttante Lokam,,['Nandanar'],9788126428946,"['Fiction', 'Anthologies', 'Collections', 'Literature']",,240,1973,Malayalam,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1343999492l/15784121.jpg,"1,047",4.14,https://www.goodreads.com/book/show/18383197-the-leopard-vanguard
The Water Nymph,,['Alysun Sanders'],9781480033375,[],"Cort Edson's world has been shattered. His older brother was killed in a tragic car accident that nearly took both of their lives. It's three years later and Cort is still numb from the loss. He doesn't have any friends at school, and every night he is forced to relive the accident over and over in his head. He's never been one to believe in Heaven or Hell, but after nearly being drowned by a fairy woman in Greece his whole world is once again turned upside down. Soon he is forced to come to grips with the fact that there really is a Heaven, and it's in danger of being taken over by Hell. Now he must fight to protect this world he's never believed in. Because if he doesn't he will lose everything he's ever cared for: His mother, his sister, and this new mythical woman who has just stolen his heart.",268,2012,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356009094l/16254445.jpg,11,4.18,https://www.goodreads.com/book/show/18383197-the-leopard-vanguard
1812,American Story #2,['David Nevin'],9780812524710,"['Historical', 'Historical Fiction', 'Fiction', 'War', 'North American Hi...', 'American History', 'Literature', 'American', 'Military Fiction', 'The United States Of America', 'Cultural', 'Canada', 'Novels']","The war of 1812 would either make America a global power sweeping all the way to the Pacific--or break it into small pieces bound to mighty England. It was a second revolution of sorts to prove to the British that America had to be taken seriously. The principal actors in this drama were James and Dolley Madison, and Andrew and Rachel Jackson. Their courage and determination would shape America's destiny.",576,1996,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388583814l/261944.jpg,864,3.97,https://www.goodreads.com/book/show/18383197-the-leopard-vanguard
MADAM PRESIDENT,,['Jerry Beller'],1481251392,[],"MADAM PRESIDENT is part of Jerry Beller’s Political Thriller/Historical Fiction series, the American Myth Series.MADAM PRESIDENT follows President Kalinda Resbo, the first female and black president, as she runs for reelection while fulfilling the many duties that come with the most difficult job in the world. With the election as a backdrop, madam weaves through an Iranian Crisis, an investigation into moles and corruption in the FBI, Congress and corporate America. Beller addresses many real events and people who are part of current events for the USA during 2012, while also creating many interesting fictional characters. President Resbo’s runs for reelection as an independent, running against congress and the two party system, advocating a different approach to politics, solutions that go outside those the democrats and republicans squabble over.MADAM PRESIDENT is the first of a series of American Myth novels that Beller will release over the next several years. He has worked on the series for over two decades, and the novels cover the history of the United States, blending fiction and non-fiction in the manner of a historical fiction purist.Jerry Beller will also be releasing HEY JOE in the spring. This is a story where an American moves to Jamaica in the greatest adventure of his life, which happens to lead to the most significant romance of his life. HEY JOE is the first of several books in the Jamaica Series.",325,2013,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361835530l/17334042.jpg,31,4.52,https://www.goodreads.com/book/show/18383197-the-leopard-vanguard
Conan Doyle Stories,,['Arthur Conan Doyle'],9780861368877,"['Fiction', 'Mystery', 'Classics', 'Detective', 'Short Stories']",,1201,1929,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394392543l/76123.jpg,91,4.2,https://www.goodreads.com/book/show/18383197-the-leopard-vanguard
Calm My Anxious Heart,,['Linda Dillow'],9781576830475,"['Christian', 'Nonfiction', 'Christian Living', 'Self Help', 'Religion', 'Christianity', 'Faith', 'Spirituality', 'Christian Non Fiction', 'Womens']","Helping Women Trust God and Overcome Anxiety—Field-Tested, Revised, and Updated for a New Generation of ReadersAs women—whether single women, married women, moms, grandmothers—we worry a lot. We worry about our children, our friends, our careers, our families, our spouses—and the list goes on. We want to be content and trust God with our worries, but it’s a struggle to let go and free ourselves from the burden of anxiety.If you’re tired of worrying about all the what-ifs in your life and want to experience the calm and contentment that the Bible promises, Calm My Anxious Heart is what you’ve been looking for. Filled with encouragement and practical help for overcoming anxiety, this book includes a ten-week Bible study to help you discover what the Bible says about anxiety and contentment and ways to apply it to your daily life. This classic book has been field-tested, revised, and updated for a new generation of readers. A companion journal is also available to record your thoughts as you listen to God’s teaching, embrace the present, and live with joy. With Calm My Anxious Heart, you can let go of anxiety and experience contentment that comes from trusting God.",239,1989,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387731733l/76405.jpg,"5,447",4.13,https://www.goodreads.com/book/show/18383197-the-leopard-vanguard
In The Midst of Secrets ( Interracial Romance BWWM),,['Katherine Vogel'],2940016282,"['Romance', 'Adult Fiction', 'Erotica']","OverviewIn The Midst of Secrets ( Interracial Romance BWWM)""Her father was an intimidating man who held fast to his belief in his African heritage; that black should not marry white to avoid racial confusion. She was in love with a white man whose mother wished to keep her family's heritage intact by not crossbreeding with another race.Tiffany only wanted to be with Jonathon but had to face a father who was hell bent on controlling his family's every move. Revelations would take him off his high horse as he realized all his family members kept secrets from him, secrets they knew he could not tolerate. The showdown would bring a proud and sometimes unreasonable man to his knees.A son's quest to find the truth would reveal a secret so crushing that the family may never recover. “A secret that was buried for over thirty years.""",41,2013,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361122132l/17380831.jpg,26,4.04,https://www.goodreads.com/book/show/18383197-the-leopard-vanguard
Between the Notes: Making Art's Cello,,"['James N. McKean', 'Jack McKean']",9781605711621,[],"After losing their close friend and colleague Art Toman to leukemia, violin makers James McKean and Guy Rabut work together to build a cello in his honor. As the instrument takes form through the traditions of a centuries-old craft, they complete a journey that the three of them had begun together, while giving their friendship a timeless voice in an ever-changing world.This book is no longer in print.",236,2012,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361474487l/17406276.jpg,7,4.86,https://www.goodreads.com/book/show/18383197-the-leopard-vanguard
Half-Sick Of Shadows,,['David  Logan'],9780857521163,"['Fantasy', 'Science Fiction', 'Fiction', 'Time Travel', 'Dark', 'Alternate Universe']","On the eve of Granny Hazel's burial in the back garden, a stranger in his time machine - a machine that bears an uncanny resemblance to a Morris Minor - visits five year-old Edward with a strange request. And Edward agrees to be his friend.But Edward is not alone in the world. His twin sister Sophia is about to bring future tragedy upon herself through an all-too-literal misunderstanding of a promise she's made to their father.So while Sophia stays at home, seemingly condemned to spend the rest of her days in The Manse - a world untouched by modern trappings - Edward is sent to boarding school. There he encounters the kind and the not-so-kind, and meets the strangest child. His name is Alf, and Alf is a boy whose very existence would seem to hint at universes of unlimited possibilities...and who might one day help Edward liberate Sophia.With its Gothic backdrop,Half-Sick of Shadowsis a novel of many parts: at once a comical tragedy, a dark and dazzlingly told tale of childhood wonder and dismay, of familial dysfunction, of poetry, the imagination and theoretical physics.",304,2012,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1359614404l/13810007.jpg,182,2.82,https://www.goodreads.com/book/show/18383197-the-leopard-vanguard
Secrets of the Winter Killer,,['Moniqua Sexton'],1481076981,[],"Jason and Nadia just got married and are going on their honeymoon to a secluded cottage, miles away from civilization. They are enjoying each other until they learn that this town has some dark, deadly secrets. As they try to uncover them, it costs them the lives of those closest to them. Deceit and betrayal makes what they're about to find out even more terrifying than what they thought they already knew.",0,2012,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361716865l/17411900.jpg,3,5.0,https://www.goodreads.com/book/show/18383197-the-leopard-vanguard
The Sorrow's Garden,,['Anthony Carinhas'],9780578095240,"['Fiction', 'Historical', 'Historical Fiction', 'Young Adult']","Successful and well-known as an architect and writer in 1938 Leipzig, Germany, the talented and skilled Radulf is repulsed by the chaotic nature of other people's selfish living. Ironically, he is tormented by a dark secret lurking deep within the shadows of his own psyche: the fact that his own character is completely devoid of principles and morals. Radulf is driven to hone other skills in an extremely sinister craft-a pastime that both amuses and consumes him-in spite of the destruction it may cause. Antagonized by a hidden world haunted by disturbing nightmares, he is compelled to lure carefully-selected individuals into his tailor-made illusions where he wins their trust and preys with lust upon their innocence and trusting nature.",106,2012,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348318158l/15860247.jpg,65,4.18,https://www.goodreads.com/book/show/18383197-the-leopard-vanguard
