title,series,authors,isbn,genres,description,pages,year,language,cover_image,total_number_ratings,average_rating,book_url
Five Quarters of the Orange,,['Joanne Harris'],9780060958022,"['Fiction', 'Historical', 'Historical Fiction', 'Cultural', 'France', 'Food and Drink', 'Food', 'War', 'World War II', 'Contemporary', 'Book Club', 'Mystery']","The novels of Joanne Harris are a literary feast for the senses.Five Quarters of the Orangerepresents Harris's most complex and sophisticated work yet - a novel in which darkness and fierce joy come together to create an unforgettable story.When Framboise Simon returns to a small village on the banks of the Loire, the locals do not recognize her as the daughter of the infamous Mirabelle Dartigen - the woman they still hold responsible for a terrible tragedy that took place during the German occupation decades before. Although Framboise hopes for a new beginning she quickly discovers that past and present are inextricably intertwined. Nowhere is this truth more apparent than in the scrapbook of recipes she has inherited from her dead mother.With this book, Framboise re-creates her mother's dishes, which she serves in her small creperie. And yet as she studies the scrapbook - searching for clues to unlock the contradiction between her mother's sensuous love of food and often cruel demeanor - she begins to recognize a deeper meaning behind Mirabelle's cryptic scribbles. Within the journal's tattered pages lies the key to what actually transpired the summer Framboise was nine years old.Rich and dark.Five Quarters of the Orangeis a novel of mothers and daughters of the past and the present, of resisting, and succumbing, and an extraordinary work by a masterful writer.",307,2001,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1583190215l/15096.jpg,"33,452",3.86,https://www.goodreads.com/book/show/9578677-the-silent-girl
Rubyfruit Jungle,,['Rita Mae Brown'],9780553146967,"['Fiction', 'LGBT', 'Queer', 'Classics', 'Lesbian', 'Feminism', 'Gay', 'Novels', 'Young Adult', 'Coming Of Age', 'Queer Lit']",,246,1973,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1172341177l/165395._SY475_.jpg,"34,770",3.92,https://www.goodreads.com/book/show/9578677-the-silent-girl
,None,None,,[],None,None,1936,,,,,https://www.goodreads.com/book/show/9578677-the-silent-girl
The 17th Suspect,Women's Murder Club #17,"['James Patterson', 'Maxine Paetro']",9781780895215,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Audiobook', 'Mystery Thriller', 'Suspense', 'Detective', 'Murder Mystery', 'Adult']","In this #1NYTbestseller, Sergeant Lindsay Boxer puts her life on the line to protect San Francisco from a shrewd and unpredictable killer.When a series of shootings exposes San Francisco to a mysterious killer, a reluctant woman decides to put her trust in Sergeant Lindsay Boxer. The confidential informant's tip leads Lindsay to a disturbing conclusion: something has gone horribly wrong inside the police department.The hunt for the killer lures Lindsay out of her jurisdiction and impacts her in dangerous ways. She suffers unsettling medical symptoms, and her friends in the Women's Murder Club warn her against taking the crimes to heart. But with lives at stake, the detective can't help but follow the case into terrifying terrain.A decorated officer, loving wife, devoted mother, and loyal friend, Lindsay has always acted with unwavering integrity. But now she is confronting a killer who is determined to undermine it all.",353,2018,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1527544916l/35212978.jpg,"30,663",3.91,https://www.goodreads.com/book/show/9578677-the-silent-girl
The Watchers: The Tomb,,['Carl Novakovich'],4824101190,"['Contemporary', 'Novels', 'Drama', 'Fiction']","John Gideon, a former homicide detective turned P.I., has dug too deep and discovered the truth about the world while searching for the only family he has left.John and his new partner, Beth May - a spell-wielding demon who has turned her back on Hell - are humanity's last hope to stop a collective of Fallen Angels known as The Watchers and a hierarchy of demons from breaking the first of the Seven Seals of Revelation.If the Seals are broken, they will set free sickness, war, and death on the world until there is nothing left but an apocalyptic wasteland for The Watchers to control. John and Beth have the tools needed and the strength to stop them. The only question is - are they already too late?",0,2021,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1610665265l/56670215._SX318_.jpg,555,4.37,https://www.goodreads.com/book/show/9578677-the-silent-girl
Forever,,['Pete Hamill'],9780316735698,"['Fiction', 'Historical', 'Historical Fiction', 'Fantasy', 'New York', 'Magical Realism', 'Science Fiction', 'Time Travel', 'Cultural', 'Ireland', 'Adult Fiction', 'Novels']","This widely acclaimed bestseller is the magical, epic tale of an extraordinary man who arrives in New York in 1740 and remains . . . forever.Through the eyes of Cormac O'Connor -- granted immortality as long as he never leaves the island of Manhattan -- we watch New York grow from a tiny settlement on the tip of an untamed wilderness to the thriving metropolis of today. And through Cormac's remarkable adventures in both love and war, we come to know the city's buried secrets -- the way it has been shaped by greed, race, and waves of immigration, by the unleashing of enormous human energies, and, above all, by hope.",613,2002,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442120422l/148465._SY475_.jpg,"11,891",3.95,https://www.goodreads.com/book/show/9578677-the-silent-girl
The First Fifteen Lives of Harry August,,['Claire North'],9780316399623,"['Science Fiction', 'Fiction', 'Fantasy', 'Time Travel', 'Historical', 'Historical Fiction', 'Audiobook', 'Adult', 'Science Fiction Fantasy', 'Thriller']","Some stories cannot be told in just one lifetime. Harry August is on his deathbed. Again. No matter what he does or the decisions he makes, when death comes, Harry always returns to where he began, a child with all the knowledge of a life he has already lived a dozen times before. Nothing ever changes. Until now. As Harry nears the end of his eleventh life, a little girl appears at his bedside. ""I nearly missed you, Doctor August,"" she says. ""I need to send a message."" This is the story of what Harry does next, and what he did before, and how he tries to save a past he cannot change and a future he cannot allow.",405,2014,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407712314l/20706317.jpg,"78,486",4.01,https://www.goodreads.com/book/show/9578677-the-silent-girl
,None,None,,[],None,None,2004,,,,,https://www.goodreads.com/book/show/9578677-the-silent-girl
Bottle,,['D.M. Samson'],9780955679629,[],"In Nails Kevin was a prisoner of frustration, middling, but waiting for who knows what. In Bottle he's liberated with the proverbial """"kick up the arse"""" he needs. This book has got everything. Even the kitchen sink It's teeming with life and death, tears and laughter, sex and violence, parents and children, brutality and tenderness, anger and contentment... But why should I go on? Look up further antonyms yourself. Or save yourself the trouble and simply read the book. Although Bottle is the sequel to Nails it can be read in its own right.",136,2008,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390127509l/9187861.jpg,22,4.77,https://www.goodreads.com/book/show/9578677-the-silent-girl
,None,None,,[],None,None,2018,,,,,https://www.goodreads.com/book/show/9578677-the-silent-girl
