title,series,authors,isbn,genres,description,pages,year,language,cover_image,total_number_ratings,average_rating,book_url
Untamed,Medieval Series #1,['Elizabeth Lowell'],9780380769537,"['Romance', 'Historical Romance', 'Historical', 'Medieval', 'Medieval Romance', 'Historical Fiction', 'Fiction', 'Fantasy', 'Paranormal', 'Audiobook']","A hero of the crusades, Dominic le Sabre has returned to Scotland in glory and triumph to claim his reward: the beautiful Saxon bride awarded to him as conqueror king. But Lady Margaret of Blackthorne cannot yield to the bold Norman invader.The beloved daughter of a sacred tribe of Celtic mystics, she fears an ancient curse that could bring further turmoil to her battle-scarred land...and sorrow to her marriage bed. With a word, the lady could turn her wedding into war.But there awaits in the noble knight's embrace a promise of passion unbound— and a love that neither violence nor treachery can tear asunder, a love both invincible and.",416,1993,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1431989028l/768313._SY475_.jpg,"7,480",4.0,https://www.goodreads.com/book/show/17283481-reverb
Hallowed,Unearthly #2,['Cynthia Hand'],9780061996184,"['Young Adult', 'Paranormal', 'Angels', 'Fantasy', 'Romance', 'Paranormal Romance', 'Supernatural', 'Urban Fantasy', 'Fiction', 'Young Adult Fantasy']","For months Clara Gardner trained to face the fire from her visions, but she wasn't prepared for the choice she had to make that day. And in the aftermath, she discovered that nothing about being part angel is as straightforward as she thought.Now, torn between her love for Tucker and her complicated feelings about the roles she and Christian seem destined to play in a world that is both dangerous and beautiful, Clara struggles with a shocking revelation: Someone she loves will die in a matter of months. With her future uncertain, the only thing Clara knows for sure is that the fire was just the beginning.In this compelling sequel toUnearthly, Cynthia Hand captures the joy of first love, the anguish of loss, and the confusion of becoming who you are.",403,2012,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1332883896l/11563110.jpg,"79,690",4.07,https://www.goodreads.com/book/show/17283481-reverb
,None,None,,[],None,None,1963,,,,,https://www.goodreads.com/book/show/17283481-reverb
The Murders in the Rue Morgue: The Dupin Tales,C. Auguste Dupin #1-3,"['Edgar Allan Poe', 'Matthew Pearl']",9780679643425,"['Mystery', 'Classics', 'Fiction', 'Short Stories', 'Horror', 'Crime', 'Thriller', 'Mystery Thriller', 'Literature', '19th Century', 'American']","Between 1841 and 1844, Edgar Allan Poe invented the genre of detective fiction with three mesmerizing stories about a young and eccentric French private detective named C. Auguste Dupin.Introducing to literature the concept of applying reason to solving crime, these tales brought Poe fame and fortune, although much less of the second during his lifetime. Decades later, Dorothy Sayers would describe “The Murders in the Rue Morgue” as “almost a complete manual of detective theory and practice.” Indeed, Poe’s short Dupin mysteries inspired the creation of countless literary sleuths, among them Sherlock Holmes. Today, the unique Dupin stories still stand out as utterly engrossing page-turners.Librarian's note: this entry is for a collection of C. Auguste Dupin short stories under the above title. There are three stories in the series: 1. “The Murders in the Rue Morgue,” 2. “The Mystery of Marie Rogêt,” and 3. “The Purloined Letter.” Entries for the individual stories are located elsewhere on Goodreads.",160,1844,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1392616150l/45793.jpg,"11,077",3.86,https://www.goodreads.com/book/show/17283481-reverb
Hot Water Music,,['Charles Bukowski'],9780876855966,"['Fiction', 'Short Stories', 'Poetry', 'Literature', 'American', 'Classics', 'The United States Of America', 'Humor', '20th Century', 'Novels']","With his characteristic raw and minimalist style, Charles Bukowski takes us on a walk through his side of town inHot Water Music.  He gives us little vignettes of depravity and lasciviousness, bite sized pieces of what is both beautiful and grotesque.The stories inHot Water Musicdash around the worst parts of town – a motel room stinking of sick, a decrepit apartment housing a perpetually arguing couple, a bar tended by a skeleton – and depict the darkest parts of human existence.  Bukowski talks simply and profoundly about the underbelly of the working class without raising judgement.In the way he writes about sex, relationships, writing, and inebriation, Bukowski sets the bar for irreverent art – his work inhabits the basest part of the mind and the most extreme absurdity of the everyday.",221,1983,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1624496002l/50453._SX318_.jpg,"13,471",3.9,https://www.goodreads.com/book/show/17283481-reverb
The Sicilian,The Godfather #2,['Mario Puzo'],9780345441706,"['Fiction', 'Mystery', 'Crime', 'Thriller', 'Classics', 'Historical', 'Historical Fiction', 'Novels', 'Cultural', 'Italy', 'Drama', 'Literature']","After Mario Puzo wrote his internationally acclaimed The Godfather, he has often been imitated but never equaled. Puzo's classic novel, The Sicilian, stands as a cornerstone of his work--a lushly romantic, unforgettable tale of bloodshed, justice, and treachery. . . .The year is 1950. Michael Corleone is nearing the end of his exile in Sicily. The Godfather has commanded Michael to bring a young Sicilian bandit named Salvatore Giuliano back with him to America. But Giuliano is a man entwined in a bloody web of violence and vendettas. In Sicily, Giuliano is a modern day Robin Hood who has defied corruption--and defied the Cosa Nostra. Now, in the land of mist-shrouded mountains and ancient ruins, Michael Corleone's fate is entwined with the dangerous legend of Salvatore Giuliano: warrior, lover, and the ultimate Siciliano.",416,1984,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1427584738l/22026.jpg,"22,224",3.99,https://www.goodreads.com/book/show/17283481-reverb
Be Still and Listen: Experience the Presence of God in Your Life,,"['Amos Smith', 'Phileena Heuertz']",9781612618654,"['Religion', 'Christianity', 'Nonfiction', 'New Adult', 'Faith', 'Contemporary', 'Spirituality', 'Adult']","The various crises we experience in society and culture today, at their root, reveal a spiritual problem: a profound lack of meaning. The mystical truths revealed in scripture can surely help.Part One, “Entering the Desert,” introduces the reader to principles of awareness, deep listening, and contemplation as essential for “hearing” what Scripture has to say. Part Two details the importance of mystery and struggle in the process of healing from any past or present wounds. And Part Three explores the “undivided heart” that is possible when we come to know God in silence and stillness.WithBe Stillit is possible to explore the contemplative dimensions of the Bible, either on your own or in a group setting, as you perhaps never have before.",160,2018,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1527514661l/36575456.jpg,155,4.37,https://www.goodreads.com/book/show/17283481-reverb
Temple of the Winds,Sword of Truth #4,"['Terry Goodkind', 'Dick Hill', 'Ferhan Ertürk']",0812551486,"['Fantasy', 'Fiction', 'Epic Fantasy', 'Science Fiction Fantasy', 'High Fantasy', 'Magic', 'Young Adult', 'Adventure', 'Childrens', 'Epic']","Book Four of The Sword of Truth returns listeners to the world of Richard Cypher, a simple woods guide who never dreamed he would be named the Seeker of Truth and become caught up in magic, war, and dangers so extraordinary that the fate of his entire world would hang on his actions and decisions.The dangerous, fanatical Imperial Order, under the leadership of the power-mad Emperor Jagang and his multitude of demonic underlings, unleashes a deadly plague. To find a cure Richard Cypher and his beloved Kahlan Amnell must seek out the legendary Temple of the Winds, a fortress of evil sealed away for three thousand years. But the path of the Seeker of Truth is never an easy one—even if he can reach the Temple at all, there is no guarantee he'll ever return.",822,1998,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347597249l/253058.jpg,"81,239",4.0,https://www.goodreads.com/book/show/17283481-reverb
The Girl in the Ice,Detective Erika Foster #1,['Robert Bryndza'],1910751774,"['Mystery', 'Thriller', 'Crime', 'Fiction', 'Mystery Thriller', 'Suspense', 'Drama', 'Contemporary', 'Audiobook', 'Novels']","Her eyes are wide open. Her lips parted as if to speak. Her dead body frozen in the ice…She is not the only one.When a young boy discovers the body of a woman beneath a thick sheet of ice in a South London park,Detective Erika Fosteris called in to lead the murder investigation.The victim, a beautiful young socialite, appeared to have the perfect life. Yet when Erika begins to dig deeper, she starts to connect the dots between the murder and the killings of three prostitutes, all found strangled, hands bound and dumped in water around London.What dark secrets is the girl in the ice hiding?As Erika inches closer to uncovering the truth, the killer is closing in on Erika.The last investigation Erika led went badly wrong… resulting in the death of her husband. With her career hanging by a thread, Erika must now battle her own personal demons as well as a killer more deadly than any she’s faced before. But will she get to him before he strikes again?A #1 international bestseller,The Girl in the Iceis a page-turning thriller packed with suspense. If you like Angela Marsons, Rachel Abbott and Karin Slaughter, discover Rob Bryndza’s series today.",670,2016,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1450369120l/28233082._SY475_.jpg,"74,492",3.96,https://www.goodreads.com/book/show/17283481-reverb
Dark Horde Rising,,['Iain Hope'],9781519412041,"['Epic', 'Fiction', 'Drama', 'Contemporary']","A thousand years have passed since the Elder Kingdoms were lost. Once the Elder races ruled all the northern lands and their knowledge and power were legend. What calamity befell them, none now know. Centuries on and the north is a land where fell beasts and evil creatures roam unchecked, save in one place, the Wildlands of Darylor. Here mankind has slowly begun to explore and settle where once the Elder ruled, and within those lands, built amidst the ruins of a lost Elder city, lies the College of Magic. Inside, mankind seeks to rediscover the lost magics of old, but in secret one man desires the power to rule all and will stop at nothing to achieve his dream. Meanwhile, in the city of Shandrilos, in the shadow of the College of Magic, a groups of friends come together. Jon 'Bear' Madraig, fighter and mage, and his best friend the roguish swordsman and knight, Darin of Kenarth come to meet old friends and relive past adventures. The master mage, Arkadi Talcost and the beautiful druid, Rebba Korran, seek only to relax and enjoy some time away from the demands of their work and the College. For these friends, this is merely a reunion. However, for Zara Halven, the notorious Whore of Ostia, and for the monk, Garon Vale, the visit to Shandrilos is more; for one it is a chance for redemption and for the other it is a test of faith. Yet for the last of the friends, the visit to Shandrilos is the most important of all. For the huntress, Nat Bero it is a chance for forgiveness... and for revenge. These friends will be caught up in events that will change their lives forever, for the secret behind the destruction of the Elder is about to come to light... ""The fate of all can be decided by the actions of one who the gods guide to the right place at the right time. Do not underestimate the power of even the lowest to affect the paths of the mighty..."" The words of the seeress, Ry'Ina White Eyes If you are a reader of epic fantasy this is what you are looking for. If you liked Terry Brook's Shanara novels, Raymond E. Feist's Midkemia books, Harry Potter, Game of Thrones or Lord of the Rings then this is a book for you. In the same vein as the Wheel of Time and akin to the gaming fantasy of the Dragonlance books, Dark Horde Rising will propel you into a detailed new world of magic and mystery while introducing you to a whole range of new and interesting characters.",768,2015,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1453650413l/28391654._SY475_.jpg,208,4.23,https://www.goodreads.com/book/show/17283481-reverb
Philosophy: Who Needs It,The Ayn Rand Library #1,"['Ayn Rand', 'Leonard Peikoff']",9780451138934,"['Philosophy', 'Nonfiction', 'Politics', 'Classics', 'History', 'Economics', 'Writing', 'Essays', 'Cultural', 'Modern', 'Culture', 'Society']","This collection of essays was the last work planned byAyn Randbefore her death in 1982. In it, she summarizes her view of philosophy and deals with a broad spectrum of topics. According to Ayn Rand, the choice we make is not whether to have a philosophy, but which one to have: rational, conscious, and therefore practical; or contradictory, unidentified, and ultimately lethal. Written with all the clarity and eloquence that have placed Ayn Rand's Objectivist philosophy in the mainstream of American thought, these essays range over such basic issues as education, morality, censorship, and inflation to prove that philosophy is the fundamental force in all our lives.",308,1982,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309284474l/843433.jpg,"2,881",3.89,https://www.goodreads.com/book/show/17283481-reverb
Witch Child,Witch Child #1,['Celia Rees'],9780763618292,"['Historical', 'Historical Fiction', 'Young Adult', 'Fantasy', 'Fiction', 'Paranormal', 'Witches', 'Magic', 'Teen', 'Childrens']","The spellbinding diary of a teenage girl who escapes persecution as a witch--only to face new intolerance in a Puritan settlement.Enter the world of young Mary Newbury, a world where simply being different can cost a person her life. Hidden until now in the pages of her diary, Mary's startling story begins in 1659, the year her beloved grandmother is hanged in the public square as a witch. Mary narrowly escapes a similar fate, only to face intolerance and new danger among the Puritans in the New World. How long can she hide her true identity? Will she ever find a place where her healing powers will not be feared?Just two weeks after publication, Celia Rees's WITCH CHILD spirited its way onto the Book Sense Children's Only 76 list as one of the Top 10 books that independent booksellers like to handsell. Within a month, this riveting book sold out its first two hardcover printings. Now, Candlewick Press is pleased to announce the publication of WITCH CHILD in paperback.",240,2000,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630493975l/803120._SX318_.jpg,"17,223",3.8,https://www.goodreads.com/book/show/17283481-reverb
Fearless: The Heroic Story of One Navy SEAL's Sacrifice in the Hunt for Osama Bin Laden and the Unwavering Devotion of the Woman Who Loved Him,,['Eric Blehm'],9780307730695,"['Nonfiction', 'Biography', 'War', 'Military Fiction', 'History', 'Biography Memoir', 'Christian', 'Military', 'Military History', 'Autobiography', 'Memoir', 'Audiobook']","Fearlesstakes you deep into SEAL Team SIX, straight to the heart of one of its most legendary operators.When Navy SEAL Adam Brown woke up on March 17, 2010, he didn’t know he would die that night in the Hindu Kush Mountains of Afghanistan—but he was ready: In a letter to his children, not meant to be seen unless the worst happened, he wrote, “I’m not afraid of anything that might happen to me on this earth, because I know no matter what, nothing can take my spirit from me.”Long before Adam Brown became a member of the elite SEAL Team SIX—the counterterrorism unit that took down Osama bin Laden—he was a fun-loving country boy from Hot Springs, Arkansas, whose greatest goal had been to wear his high school’s football jersey. An undersized daredevil, prone to jumping off roofs into trees and off bridges into lakes, Adam was a kid who broke his own bones but would never break apromise to his parents.But after high school, Adam fell in with the wrong crowd, and his family watched as his appetite for risk dragged him into a downward spiral that eventually landed him in jail. Battling his inner demons on a last-chance road to redemption, Adam had one goal: to become the best of the best—a U.S. Navy SEAL.An absorbing chronicle of heroism and humanity, Fearless presents an indelible portrait of a highly trained warrior who would enter a village with weapons in hand to hunt terrorists, only to come back the next day with an armload of shoes and meals for local children. It is a deeply personal, revealing glimpse inside the SEAL Team SIX brotherhood that also shows how these elite operators live out the rest of their lives, away from danger, as husbands, fathers, and friends.Fearlessis the story of a man of extremes, whose courage and determination was fueled by faith, family, and the love of a woman. It’s about a man who waged a war against his own worst impulses and persevered to reach the top tier of the U.S. military. Always the first to volunteer for the most dangerous assignments, Adam’s final act of bravery led to the ultimate sacrifice.Adam Brown was a devoted man who was an unlikely hero but a true warrior, described by all who knew him asfearless.",256,2012,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351386173l/12878300.jpg,"15,962",4.56,https://www.goodreads.com/book/show/17283481-reverb
