title,series,authors,isbn,genres,description,pages,year,language,cover_image,total_number_ratings,average_rating,book_url
Stones (One True Child #5),,['L.C. Conn'],,"['Book Club', 'Novels', 'Fiction', 'Drama', 'Contemporary']","Deep within the New Zealand bush, lies a plateau with a clearing, covered over by many years of fallen leaves, leaving it damp and dark. Hidden just beneath the surface are the STONES - green and still polished smooth - placed long ago by the Guardians. Still pulsating with power, they are about to bear witness to a great battle between light and darkness.Claire Drummond is in danger, her very life depends on the actions and help of her husband and family, as well as the man she thought had left her life for good, Tony Benning. Caught up once more in the heavy turmoil of good vs evil, Claire has much more to fight for than just a cluster of stones in the highlands of Scotland.This time it’s personal.This time Marcus Ryder has her daughter.",327,2019,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551416565l/44164186._SY475_.jpg,569,4.31,https://www.goodreads.com/book/show/10374.Hard_Boiled_Wonderland_and_the_End_of_the_World
,None,None,,[],None,None,,,,,,https://www.goodreads.com/book/show/10374.Hard_Boiled_Wonderland_and_the_End_of_the_World
Frindle,,"['Andrew Clements', 'Brian Selznick']",9780689818769,"['Realistic Fiction', 'Childrens', 'Fiction', 'Middle Grade', 'Academic', 'School', 'Young Adult', 'Humor', 'Chapter Books', 'Juvenile', 'Contemporary']","From bestselling and award-winning author Andrew Clements, a quirky, imaginative tale about creative thought and the power of words that will have readers inventing their own words.Is Nick Allen a troublemaker? He really just likes to liven things up at school -- and he's always had plenty of great ideas. When Nick learns some interesting information about how words are created, suddenly he's got the inspiration for his best plan ever...the frindle. Who says a pen has to be called a pen? Why not call it a frindle? Things begin innocently enough as Nick gets his friends to use the new word. Then other people in town start saying frindle. Soon the school is in an uproar, and Nick has become a local hero. His teacher wants Nick to put an end to all this nonsense, but the funny thing is frindle doesn't belong to Nick anymore. The new word is spreading across the country, and there's nothing Nick can do to stop it.",105,1996,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344395824l/439173.jpg,"110,864",3.83,https://www.goodreads.com/book/show/10374.Hard_Boiled_Wonderland_and_the_End_of_the_World
Wolf Hall,Thomas Cromwell #1,['Hilary Mantel'],0312429983,"['Historical', 'Historical Fiction', 'Fiction', 'European Literature', 'British Literature', 'Audiobook', 'Literary Fiction', 'Novels', 'Unfinished', 'Literature', 'English History', 'Tudor Period']","England in the 1520s is a heartbeat from disaster. If the king dies without a male heir, the country could be destroyed by civil war. Henry VIII wants to annul his marriage of twenty years and marry Anne Boleyn. The pope and most of Europe opposes him. Into this impasse steps Thomas Cromwell: a wholly original man, a charmer and a bully, both idealist and opportunist, astute in reading people, and implacable in his ambition. But Henry is volatile: one day tender, one day murderous. Cromwell helps him break the opposition, but what will be the price of his triumph?",653,2009,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1627203575l/6101138.jpg,"190,624",3.87,https://www.goodreads.com/book/show/10374.Hard_Boiled_Wonderland_and_the_End_of_the_World
Hometown Girl at Heart,Hometown #1,['Kirsten Fullmer'],9781973326618,"['Contemporary', 'Fiction', 'Romance', 'Novels', 'New Adult', 'Young Adult', 'Love Story', 'Contemporary Romance', 'Adult', 'Womens Fiction', 'Chick Lit']","Tara has always been too engrossed in her work - refurbishing the historical homes in Smithville. She keeps a tight rein on her jobs and her emotions buried, but she’s losing control of both since that ridiculous city boy investor showed up.New in town, Justin is confident that his ultra modern resorts will bring Smithville into the twenty-first century. If only the local-yokels and their ringleader, the gorgeous and peculiar Tara, would stop interfering.With her quirky and protective hometown behind her, will Tara confront Justin and the town’s long buried secrets to take on the financial and emotional risk of a lifetime?",321,2014,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1517215673l/38230320._SY475_.jpg,"4,667",4.29,https://www.goodreads.com/book/show/10374.Hard_Boiled_Wonderland_and_the_End_of_the_World
The Light Between Oceans,,['M.L. Stedman'],9781451681734,"['Fiction', 'Historical', 'Historical Fiction', 'Cultural', 'Australia', 'Book Club', 'Romance', 'Adult', 'Adult Fiction', 'Audiobook', 'Drama']","Librarian's note: An alternate cover edition can be foundhereAustralia, 1926.After four harrowing years fighting on the Western Front, Tom Sherbourne returns home to take a job as the lighthouse keeper on Janus Rock, nearly half a day's journey from the coast. To this isolated island, where the supply boat comes once a season and shore leaves are granted every other year at best, Tom brings a young, bold, and loving wife, Isabel. Years later, after two miscarriages and one stillbirth, the grieving Isabel hears a baby's cries on the wind. A boat has washed up onshore carrying a dead man and a living baby.Tom, whose records as a lighthouse keeper are meticulous and whose moral principles have withstood a horrific war, wants to report the man and infant immediately. But Isabel has taken the tiny baby to her breast. Against Tom's judgment, they claim her as their own and name her Lucy. When she is two, Tom and Isabel return to the mainland and are reminded that there are other people in the world. Their choice has devastated one of them.M. L. Stedman's mesmerizing, beautifully written debut novel seduces us into accommodating Isabel's decision to keep this ""gift from God."" And we are swept into a story about extraordinarily compelling characters seeking to find their North Star in a world where there is no right answer, where justice for one person is another's tragic loss.",362,2012,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1336683021l/13158800.jpg,"428,377",4.02,https://www.goodreads.com/book/show/10374.Hard_Boiled_Wonderland_and_the_End_of_the_World
Mission: Subhero,,['Linda    Armstrong'],,"['Contemporary', 'Novels', 'Fiction', 'Drama', 'Book Club', 'Young Adult', 'Childrens', 'Middle Grade', 'New Adult', 'Adventure', 'Adult']","With just a few lines of code, one average man will change the world--and set in motion the adventure of a lifetime!When 20-year-old Nelson stumbles upon a secret and complex trick to coding, he finds himself anonymously helping people with the aid of his new app. The worldwide attention pushes him to launch a bold plan allowing free access of this life-changing app to anyone for a limited time. Fervor to upload the new app is at fever pitch as the world waits for the unveiling.However, secret government agencies are worried. Fearing what the effects of this app will do, they plan to stop the app from ever getting out before the world has a chance to enter the category of hero, even the category labelled Subhero.The race is on for the world's chance at change, where the new cool is being average and doing random accidents of kindness. Suddenly, the world can become a Subhero overnight and there's no stopping what Nelson has started!",225,2017,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1498323354l/35508805._SY475_.jpg,"2,417",4.35,https://www.goodreads.com/book/show/10374.Hard_Boiled_Wonderland_and_the_End_of_the_World
A Summer of Good-Byes (Blue Triangle Press Book 2),,['Fred Misurella'],,"['Fiction', 'Novels', 'Adult', 'Contemporary', 'Adventure', 'Young Adult', 'New Adult', 'Drama', 'Book Club', 'Mystery']","PASSION IN PROVENCE:Ben and Lee Alto follow Van Gogh’s 19th century path to Provence, hoping to find inspiration for their own lives and give their son, Misha, some insight into a world completely different from their own. They find art, of course, and a world of beautiful landscapes, warm temperatures, and, yes, wonderful food. But they also find a ghost of their past, and it’s not Vincent Van Gogh but a woman Ben once loved and a man, Zach, a well-known jazz musician, who teach them some hard lessons about art and life, as well as the art of life.A SUMMER OF GOOD-BYES resonates with the warmth of France’s southern sun, famous artists, and violent conflicts. It’s a vital, romantic story filled with the tensions of love and marriage, sexual longing and family loyalty, and the struggle to live in the face of impending death and loss.",0,2017,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1492889451l/34937453._SY475_.jpg,"1,713",4.36,https://www.goodreads.com/book/show/10374.Hard_Boiled_Wonderland_and_the_End_of_the_World
The Scopas Factor,,['Vincent Panettiere'],9781543947717,"['Fiction', 'Contemporary', 'Novels', 'Drama', 'Book Club', 'New Adult', 'Adult', 'Mystery', 'Crime', 'Action', 'Childrens', 'Middle Grade']","A Hmong ""story cloth,"" a Revolutionary War battle flag, forged Picassos and a Russian drug dealer—finding the link between these disparate elements is the challenge Mike Hegan faces in The Scopas Factor, the latest mystery from Vincent Panettiere.After his last investigation ends tragically, Detective Mike Hegan returns to Chicago from St. Kitts, hoping to put everything behind him. But his girlfriend, Diana, has other plans, and although he has no interest in the job opportunity she presents him—in a small northern California town, no less—he wants to please her. Upon his arrival in Weedley, he's caught up in a kidnapping and two murders. A visit to Diana's family in San Francisco only serves to deepen the mystery, as her father might be the link to a gang of antiquities thieves that might have something to do with the crimes in Weedley. And when Diana's father disappears, Hegan takes off for Antibes in southern France, where he discovers that the mystery has only just begun.",326,2018,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1540608624l/42447688._SY475_.jpg,"1,080",4.31,https://www.goodreads.com/book/show/10374.Hard_Boiled_Wonderland_and_the_End_of_the_World
The Manson File: Myth and Reality of an Outlaw Shaman,,"['Nikolas Schreck', 'Zeena Schreck']",9783844210,"['Crime', 'True Crime', 'Religion', 'Cults', 'Mystery', 'Cultural', 'Counter Culture', 'Nonfiction', 'Psychology', 'Satanism', 'Anthropology', 'True Story', 'Anarchism']","Summing up 25 years of Nikolas Schreck's research into the Charles Manson phenomenon, this Book of Revelations illuminates unknown dimensions of Manson as philosopher, musician, Gnostic mystic, Mafia fall guy, revolutionary, and friend, lover and drug dealer to 1960s Hollywood's best-known rock stars and movie idols.The first comprehensive study of Manson's life, times, crimes, and thought, this is the ultimate guide to the Manson mysteries, portraying the human being behind the media-created monster's many masks.Drawing on police evidence suppressed during Manson's trial, Schreck exposes the ""Helter Skelter"" legend as one of the twentieth century's greatest cover-ups, unveils the hidden Mafia drug-dealing background of the ""Manson murders"" and traces the underworld connections linking the victims to their killers. The author's recent conversations with Manson and others directly involved in the psychedelic era's apocalypse allow the true story kept secret for decades to be told at last.Jacket design artist/graphic designer and all chapter plates by Zeena Schreck. ""Easter Monday Audience with the Underworld Pope: Charles Manson Interviewed and Decoded"" is Zeena's full transcript with introduction and annotations of the raw footage of Nikolas Schreck's interview to his documentary, Charles Manson Superstar.",991,1988,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1323757894l/13222282.jpg,327,4.18,https://www.goodreads.com/book/show/10374.Hard_Boiled_Wonderland_and_the_End_of_the_World
