title,series,authors,isbn,genres,description,pages,year,language,cover_image,total_number_ratings,average_rating,book_url
Life's A Bitch!,,['C.P.'],9781479275052,"['Adult Fiction', 'Erotica', 'Romance']","THE SEXIEST BOOK EVER WRITTEN?This book takes you on an adventure that shows greed in its most abhorrent form, plus an insatiable lust for sex, power, and much greater wealth, no matter what the cost! Sexual favours appear to become an acceptable way of achieving certain goals in difficult circumstances. When murder becomes part of the game plan though, unexpected allegiances occur as a necessary means to an end. At times this story will beggar belief!",410,2013,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358785814l/17266892.jpg,28,3.75,https://www.goodreads.com/book/show/652074.The_Swimmer
,None,None,,[],None,None,1967,,,,,https://www.goodreads.com/book/show/652074.The_Swimmer
My Ishmael,Ishmael  #3,['Daniel Quinn'],9780553379655,"['Fiction', 'Philosophy', 'Spirituality', 'Environment', 'Literature', 'Animals', 'Novels', 'Fantasy', 'Adult Fiction', 'Education']","An extraordinary and startlingly original sequel toIshmael""Enthralling, shocking, hope-filled, and utterly fearless, Daniel Quinn leads us deeper and deeper into the human heart, history, and spirit. InMy Ishmael, Quinn strikes out into entirely new territory, posing questions that will rock you on your heels, and providing tantalizing possibilities for a truly new world vision.""--Susan Chernak McElroy, author ofAnimals as Teachers & HealersWhen Ishmael places an advertisement for pupils with ""an earnest desire to save the world,"" he does not expect a child to answer him. But twelve-year-old Julie Gerchak is undaunted by Ishmael's reluctance to teach someone so young, and convinces him to take her on as his next student. Ishmael knows he can't apply the same strategies with Julie that he used with his first pupil, Alan Lomax--nor can he hope for the same outcome. But young Julie proves that she is ready to forge her own spiritual path and arrive at her own destination. And when the time comes to choose a pupil to carry out his greatest mission yet, Ishmael makes a daring decision--a choice that just might change the world.Explore Daniel Quinn's spiritualIshmaeltrilogy:ISHMAEL - MY ISHMAEL - THE STORY OF B",293,1997,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388281281l/17022.jpg,"9,414",4.09,https://www.goodreads.com/book/show/652074.The_Swimmer
Progress,Progress #1,['Amy Queau'],1482679027,"['Romance', 'Contemporary Romance', 'Contemporary', 'Dark', 'New Adult', 'Sociology', 'Abuse', 'Business', 'Amazon', 'Mental Health', 'Mental Illness', 'Womens Fiction', 'Chick Lit', 'Drama']","Is love an infection or is it a sick addiction, when there's nowhere left to run?Jesse has a curious attraction to Charlie, a hostess at the restaurant where he works. Outwardly he’s rude, awkward and unapproachable. But his sudden bursts of charm are inescapable. A devastating childhood filled with physical and emotional abuse have left him complex and frigid.Charlie, an innocent, is quickly mystified. Her craving for him generates an infatuation and a purpose. Losing weight and gaining confidence, she begins taking more risks. She defies her past, damaged and tender, in order to move ahead.If nobody makes the first move then nobody gets hurt.Their journeys take them down parallel paths which leave them just as emotionally unmatched and conflicted as the day they met. As the story progresses the viewpoints change, giving the reader an insight to the character’s thoughts and feelings.Psychological Fiction, Contemporary Romance, Women's Fiction.",265,2013,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1363803055l/17567221.jpg,356,3.79,https://www.goodreads.com/book/show/652074.The_Swimmer
From Hurt to Happiness: Emotional Rescue from the Ground Up,,['Mike Van'],9780987564719,"['Self Help', 'Nonfiction', 'Relationships', 'Personal Development']","Do you struggle in your relationships?Do your relationships have more hurt than happiness, and you're not sure whyDo you want to find more happiness in your life as a whole?If you answered ""yes"" to any of these questions, From Hurt to Happiness is for you. When you meet author Mike Van today, you would never imagine the pain he experienced in his past. From fleeing a war ravaged country as a boy, to years of being bullied and finding himself on the brink of suicide at nineteen, to overcoming the lingering depression that plagued him from childhood.With heart-wrenching candor, Van shares his many challenges and the path he found to ultimately overcome them. He takes us inside his personal road to rebuilding his inner strength, his identity, and his life. These are trials we all may have experienced in one way or another.Through relaying his personal strife, Van shares the many pitfalls of relationships and the secrets to their success. In From Hurt to Happiness, he lays out the twenty-five secrets he's learned about connecting with people, how to get others to willingly comply to our needs, and why it can be a struggle being understood and accepted. Van gives readers the secrets that help replace the hurt in our lives and relationships so that happiness and joy can flourish.In From Hurt to Happiness, walks through Mike Van's path to transformation and joy, and gives readers the opportunity to find answers to improving their own relationships - and their life.Mike Van lives in Sydney, Australia. He hopes to see personal development such as conflict resolution taught in schools and to young adults - equipping our children and future leaders with the necessary tools to make positive differences for generations to come.www.fromhurttohappiness.com",222,2013,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1381746679l/17949078.jpg,93,4.25,https://www.goodreads.com/book/show/652074.The_Swimmer
Midnight for Charlie Bone,The Children of the Red King #1,['Jenny Nimmo'],9780439474290,"['Fantasy', 'Young Adult', 'Childrens', 'Middle Grade', 'Fiction', 'Magic', 'Adventure', 'Mystery', 'Juvenile', 'Audiobook']","A magical fantasy that is fast-paced and easy-to-read. Charlie Bone has a special gift- he can hear people in photographs talking!The fabulous powers of the Red King were passed down through his descendants, after turning up quite unexpectedly, in someone who had no idea where they came from. This is what happened to Charlie Bone, and to some of the children he met behind the grim, gray walls of Bloor's Academy.His scheming aunts decide to send him to Bloor Academy, a school for geniuses where he uses his gifts to discover the truth despite all the dangers that lie ahead.",401,2002,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328868798l/9475.jpg,"42,641",3.82,https://www.goodreads.com/book/show/652074.The_Swimmer
"God, Save the Pirate",,['Ria Warrick'],9781490985152,"['Romance', 'Christian Romance']","A pirate's most valuable treasure is buried in the heart of one woman.Aislin is wrongly convicted of her own father's murder. Although innocent, she is sentenced to a prison colony in Australia. The prison ship winds up too far west, where the murderous pirate, Captain Jackson, is said to rule the seas. Her pleas to God seem to go unheeded as the ship is attacked and taken by the formidable buccaneer. Although she fights it with everything she has in her, Aislin can't help but fall in love with the pirate captain who captured her.Captain Gabriel Jackson is a pirate of a different breed. Playing the part of a bloodthirsty brigand, he finds himself coming to the aid of the enchanting maiden almost against his will. As they both struggle to survive in a vicious world, they are drawn together by an unseen force. Why? Because God knows that through Aislin and her love for Him, the prayer of God, Save the Pirate may finally come true.",172,2013,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1374640288l/18229453.jpg,16,3.25,https://www.goodreads.com/book/show/652074.The_Swimmer
Dreaming My Animal Selves/Le Songe de Mes Ames Animales,,['Helene Cardona'],9781908836397,"['Poetry', 'Animals']","Dreaming My Animal Selves is an intriguingly surreal journey through myth, legend, fantasy, and more - all guided by a shape-shifting narrator searching far and wide for cosmic unity within the discontinuous landscape of dream and the dreamy, fragmented quality of the everyday world. The dual-language text (English and French) works to heighten the narrator's shifting perceptions, symbol by symbol, vision by vision.Winner of the USA Best Book Award in Poetry, the Pinnacle Book Award for Best Bilingual Poetry Book, and the Reader's Favorite Book Award in Poetry. International Book Awards and Julie Suk Award in Poetry Finalist.",80,2013,Multiple languages,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1359388263l/17296121.jpg,99,4.79,https://www.goodreads.com/book/show/652074.The_Swimmer
The Speed of Dark,,"['Clayton Clifford Bye', 'P.D.R. Lindsay', 'Leigh M. Lane', 'Eduard Garcon', 'Marion Webb-De Sisto', 'Tim Fleming', 'Casey Wolf', 'James Secor', 'Tony Richards', 'Mary Firmin', 'Minna van der Pfaltz', 'Megan Johns', 'Gerald Dean Rice', 'E.J. Ruek', 'John B. Rosenman', 'Kenneth Weene', 'Micki Peluso', 'Lyn McConchie', 'Cynthia B. Ainsworthe', 'Tonya R. Moore']",9780978177461,"['Horror', 'Short Stories']",,336,2013,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1362606874l/17561101.jpg,34,4.35,https://www.goodreads.com/book/show/652074.The_Swimmer
Portrait of a Protégé,Portraits #2,['J.B. Chicoine'],9780615891958,[],"Four years after the close of Portrait of a Girl Running, Leila is twenty-two and living on a pretty little lake in New Hampshire. A new set of circumstances throws her into a repeating cycle of grief that twists and morphs into unexpected and powerful emotions. Leila must finally confront her fears and learn to let go while navigating the field of psychology, protecting herself from the capricious winds of Southern hospitality, playing in the backyard of big money art, and taming her unruly heart. Even her 'guardian' has a thing or two he must learn about love and letting go.",334,2013,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1379009568l/18484225.jpg,31,4.13,https://www.goodreads.com/book/show/652074.The_Swimmer
