title,series,authors,isbn,genres,description,pages,year,language,cover_image,total_number_ratings,average_rating,book_url
Hearts in Darkness,Hearts in Darkness #1,"['Laura Kaye', 'Güneş Demirel']",2940012668929,"['Romance', 'Contemporary', 'Contemporary Romance', 'Adult Fiction', 'Erotica', 'Novella', 'Adult', 'Erotic Romance', 'New Adult', 'Short Stories', 'Fiction']","Makenna James thinks her day can't get any worse, until she finds herself stuck in a pitch-black elevator with a complete stranger. Distracted by a phone call and juggling too much stuff, the pin-striped accountant caught only a glimpse of a dragon tattoo on his hand before the lights went out.Caden Grayson is amused when a redhead literally falls at his feet. His amusement turns to panic when the power fails. Despite his piercings, tats, and vicious scar, he's terrified of the dark and confined spaces. Now, he's trapped in his own worst nightmare.To fight fear, they must both reach out and open up. With no preconceived notions based on looks to hold them back, they discover just how much they have in common. In the warming darkness, attraction grows and sparks fly, but will they feel the same when the lights come back on?",112,2011,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1306632316l/11201007.jpg,"36,401",3.86,https://www.goodreads.com/book/show/10813469-rock-chick-renegade
April Fool's Day,,['Bryce Courtenay'],9780140272932,"['Nonfiction', 'Biography', 'Autobiography', 'Memoir', 'Cultural', 'Australia', 'Biography Memoir', 'Drama', 'True Story', 'Classics', 'Contemporary']","In the end, love is more important than everything and it will conquer and overcome anything. Or that’s how Damon saw it, anyway. Damon wanted a book that talked a lot about love. Damon Courtenay died on the morning of April Fool’s Day. In this tribute to his son, Bryce Courtenay lays bare the suffering behind this young man’s life. Damon’s story is one of life-long struggle, his love for Celeste, the compassion of family, and a fight to the end for integrity. A testimony to the power of love, April Fool’s Day is also about understanding: how when we confront our worst, we can become our best.",673,1993,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387732682l/510247.jpg,"7,948",4.19,https://www.goodreads.com/book/show/10813469-rock-chick-renegade
Wall and Piece,,['Banksy'],9781844137879,"['Art', 'Nonfiction', 'Politics', 'Street Art', 'Art Design', 'Photography', 'Design', 'Graffiti', 'Reference', 'Art History']","Banksy, Britain's now-legendary ""guerilla"" street artist, has painted the walls, streets, and bridges of towns and cities throughout the world. Not only did he smuggle his pieces into four of New York City's major art museums, he's also ""hung"" his work at London's Tate Gallery and adorned Israel's West Bank barrier with satirical images. Banksy's identity remains unknown, but his work is unmistakable with prints selling for as much as $45,000.",240,2005,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327904853l/114683.jpg,"212,857",3.85,https://www.goodreads.com/book/show/10813469-rock-chick-renegade
Ethereal Fury,Gemini Rising #1,"[""Jessica O'Gorek""]",9780925776259,"['Fantasy', 'Paranormal', 'Young Adult', 'Science Fiction', 'Romance', 'Dystopia', 'Paranormal Romance', 'Fiction', 'Demons']","BEWARE! THE PLANET IS WOUNDED... THE GEMINI ARE RISING AND OUR TIME ON EARTH IS LIMITEDAngry at the human race and its methodical destruction of her resources, Mother Earth recruits souls who have just left their bodies to serve Her, and turns them against humanity. Gemini, a clan of paranormal beings, picked from these possessed humans, emerges. A powerful, rising force proceeds to carry out Mother Nature’s plan to systematically destroy towns, cities, states… and eventually, the world. Amidst the chaos, a forbidden relationship between a human girl, Violette, and Onyx, a lead Gemini, begins. They will both find themselves in the middle of a revolutionary war that will either save, or destroy our world.",263,2013,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369537726l/17977415.jpg,215,3.96,https://www.goodreads.com/book/show/10813469-rock-chick-renegade
,None,None,,[],None,None,2004,,,,,https://www.goodreads.com/book/show/10813469-rock-chick-renegade
The Grim Grotto,A Series of Unfortunate Events #11,"['Lemony Snicket', 'Brett Helquist']",9780064410144,"['Fiction', 'Young Adult', 'Childrens', 'Middle Grade', 'Fantasy', 'Mystery', 'Adventure', 'Audiobook', 'Humor', 'Juvenile']","Dear Reader,Unless you are a slug, a sea anemone, or mildew, you probably prefer not to be damp. You might also prefer not to read this book, in which the Baudelaire siblings encounter an unpleasant amount of dampness as they descend into the depths of despair, underwater.In fact, the horrors they encounter are too numerous to list, and you wouldn't want me even to mention the worst of it, which includes mushrooms, a desperate search for something lost, a mechanical monster, a distressing message from a lost friend, and tap dancing.As a dedicated author who has pledged to keep recording the depressing story of the Baudelaires, I must continue to delve deep into the cavernous depths of the orphans' lives. You, on the other hand, may delve into some happier book in order to keep your eyes and your spirits from being dampened.With all due respect,Lemony Snicket",323,2004,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1519247467l/65111._SX318_.jpg,"103,422",4.01,https://www.goodreads.com/book/show/10813469-rock-chick-renegade
The Dying Earth,The Dying Earth #1,['Jack Vance'],9780671831523,"['Fantasy', 'Science Fiction', 'Fiction', 'Short Stories', 'Classics', 'Science Fiction Fantasy', 'Dying Earth', 'Apocalyptic', 'Post Apocalyptic', 'Speculative Fiction', 'Heroic Fantasy', 'Sword and Sorcery']",,156,1950,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1558264964l/951749._SY475_.jpg,"8,045",3.92,https://www.goodreads.com/book/show/10813469-rock-chick-renegade
,None,None,,[],None,None,2006,,,,,https://www.goodreads.com/book/show/10813469-rock-chick-renegade
El corazón helado,,['Almudena Grandes'],9788483103739,"['Fiction', 'Historical', 'Historical Fiction', 'Cultural', 'Spain', 'European Literature', 'Spanish Literature', 'Drama', 'Civil War', 'Spanish Civil War', 'Novels', 'Womens', 'Contemporary']","El día de su muerte, Julio Carrión, poderoso hombre de negocios cuya fortuna se remonta a los años del franquismo, deja a sus hijos una sustanciosa herencia pero también muchos puntos oscuros de su pasado y de su experiencia en la Guerra Civil y en la División Azul. En su entierro, en febrero de 2005, su hijo Álvaro, el único que no ha querido dedicarse a los negocios familiares, se sorprende por la presencia de una mujer joven y atractiva, a la que nadie había visto antes y que parece delatar aspectos desconocidos de la vida íntima de su padre. Raquel Fernández Perea, por su parte, hija y nieta de exiliados en Francia, lo sabe en cambio casi todo sobre el pasado de sus progenitores y abuelos, a los que ha preguntado sobre su experiencia de la guerra y del exilio. Para ella sólo una historia permanece sin aclarar: la de una tarde en que acompañó a su abuelo, recién regresado a Madrid, y visitaron a unos desconocidos con los que intuyó que existía una deuda pendiente.Álvaro y Raquel están condenados a encontrarse porque sus respectivas historias familiares, que son también la historia de muchas familias en España, desde la Guerra Civil hasta la Transición, forman parte de sí mismos y explican además sus orígenes, su presente. También porque, sin saberlo, se sentirán atraídos sin remedio.ConEl corazón heladoAlmudena Grandes nos entrega sin duda su novela más ambiciosa, en la que traza a través de dos familias un panorama emocionante de la historia reciente de nuestro país, y también del conflicto de las nuevas generaciones con la memoria.",933,2007,Spanish,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348048391l/1310812.jpg,"3,347",4.29,https://www.goodreads.com/book/show/10813469-rock-chick-renegade
,None,None,,[],None,None,None,,,,,https://www.goodreads.com/book/show/10813469-rock-chick-renegade
The Hate U Give,The Hate U Give #1,['Angie Thomas'],1406377287,"['Young Adult', 'Fiction', 'Contemporary', 'Audiobook', 'Realistic Fiction', 'Race', 'Social Movements', 'Social Justice', 'Teen', 'Young Adult Contemporary', 'Cultural', 'African American']","Sixteen-year-old Starr Carter moves between two worlds: the poor neighborhood where she lives and the fancy suburban prep school she attends. The uneasy balance between these worlds is shattered when Starr witnesses the fatal shooting of her childhood best friend Khalil at the hands of a police officer. Khalil was unarmed.Soon afterward, his death is a national headline. Some are calling him a thug, maybe even a drug dealer and a gangbanger. Protesters are taking to the streets in Khalil’s name. Some cops and the local drug lord try to intimidate Starr and her family. What everyone wants to know is: whatreallywent down that night? And the only person alive who can answer that is Starr.But what Starr does—or does not—say could upend her community. It could also endanger her life.",464,2017,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1476284874l/32313894._SY475_.jpg,"652,360",4.5,https://www.goodreads.com/book/show/10813469-rock-chick-renegade
Juliette,Juliette #V-VI,"['Marquis de Sade', 'Austryn Wainhouse']",9780802130853,"['Fiction', 'Adult Fiction', 'Erotica', 'Classics', 'Philosophy', 'Cultural', 'France', 'Literature', 'European Literature', 'French Literature', 'Sexuality', '18th Century', 'Novels']",,1205,1797,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347430455l/314240.jpg,"3,995",3.67,https://www.goodreads.com/book/show/10813469-rock-chick-renegade
The Man Who Cast Two Shadows,Kathleen Mallory #2,"[""Carol O'Connell""]",9780515118902,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Mystery Thriller', 'Suspense', 'Detective', 'Contemporary', 'Emergency Services', 'Police', 'New York']","NYPD sergeant Kathleen Mallory will need every bit of the ferocious intensity she's known for when she's faced with the death of a woman found with her neck snapped and a label in her jacket that reads ""Kathleen Mallory"". From the author ofMallory's Oracle.",308,1995,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1326499421l/476573.jpg,"5,724",3.91,https://www.goodreads.com/book/show/10813469-rock-chick-renegade
All's Well That Ends Well,,"['William Shakespeare', 'Barbara A. Mowat', 'Paul Werstine']",9780743484978,"['Classics', 'Plays', 'Drama', 'Fiction', 'Theatre', 'Literature', 'Poetry', 'Romance', 'European Literature', 'British Literature', 'Humor', 'Comedy']","Helena, a ward of the Countess of Rousillion, falls in love with the Countess's son, Bertram. Daughter of a famous doctor, and a skilled physician in her own right, Helena cures the King of France-who feared he was dying-and he grants her Bertram's hand as a reward. Bertram, however, offended by the inequality of the marriage, sets off for war, swearing he will not live with his wife until she can present him with a son, and with his own ring-two tasks which he believes impossible. However with the aid of a bed trick, Helena fulfils his tasks, Bertram realises the error of his ways, and they are reconciled. We are delighted to publish this classic book as part of our extensive Classic Library collection. Many of the books in our collection have been out of print for decades, and therefore have not been accessible to the general public. The aim of our publishing program is to facilitate rapid access to this vast reservoir of literature, and our view is that this is a significant literary work, which deserves to be brought back into print after many decades. The contents of the vast majority of titles in the Classic Library have been scanned from the original works. To ensure a high quality product, each title has been meticulously hand curated by our staff. Our philosophy has been guided by a desire to provide the reader with a book that is as close as possible to ownership of the original work. We hope that you will enjoy this wonderful classic work, and that for you it becomes an enriching experience.",336,1604,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348276791l/104790.jpg,"17,181",3.61,https://www.goodreads.com/book/show/10813469-rock-chick-renegade
The House in the Cerulean Sea,,['T.J. Klune'],1250217288,"['Fiction', 'LGBT', 'Romance', 'Fantasy', 'Young Adult', 'Adult', 'Queer', 'Audiobook', 'Magic', 'Contemporary']","A magical island. A dangerous task. A burning secret.Linus Baker leads a quiet, solitary life. At forty, he lives in a tiny house with a devious cat and his old records. As a Case Worker at the Department in Charge Of Magical Youth, he spends his days overseeing the well-being of children in government-sanctioned orphanages.When Linus is unexpectedly summoned by Extremely Upper Management he's given a curious and highly classified assignment: travel to Marsyas Island Orphanage, where six dangerous children reside: a gnome, a sprite, a wyvern, an unidentifiable green blob, a were-Pomeranian, and the Antichrist. Linus must set aside his fears and determine whether or not they’re likely to bring about the end of days.But the children aren’t the only secret the island keeps. Their caretaker is the charming and enigmatic Arthur Parnassus, who will do anything to keep his wards safe. As Arthur and Linus grow closer, long-held secrets are exposed, and Linus must make a choice: destroy a home or watch the world burn.An enchanting story, masterfully told, The House in the Cerulean Sea is about the profound experience of discovering an unlikely family in an unexpected place—and realizing that family is yours.",394,2020,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1569514209l/45047384._SY475_.jpg,"186,441",4.47,https://www.goodreads.com/book/show/10813469-rock-chick-renegade
The Lions of Lucerne,Scot Harvath #1,['Brad Thor'],9781416543688,"['Thriller', 'Fiction', 'Mystery', 'Action', 'Suspense', 'Mystery Thriller', 'Spy Thriller', 'Espionage', 'Crime', 'Adventure']","On the snowy Utah slopes, thirty Secret Service agents are viciously executed and the vacationing president of the United States kidnapped, seemingly by the Fatah, a lethal terrorist organization in the Middle East. But Scot Harvath, surviving agent and ex-Navy SEAL, doesn't believe the Fatah is responsible.A shadowy coalition comprises some of the highest-ranking officials in government and business – men who operate above the law, realize the threat Scot poses to their hidden agenda, and will do anything to stop him. Framed for murder and on the run, Scot takes to the towering mountains of Switzerland with beautiful Claudia Mueller of the Swiss Federal Attorney's Office. They brave subzero temperatures and sheer heights of treacherous Mount Pilatus, and the den of notorious professional killers.",512,2002,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388522067l/206196.jpg,"37,257",4.05,https://www.goodreads.com/book/show/10813469-rock-chick-renegade
