title,series,authors,isbn,genres,description,pages,year,language,cover_image,total_number_ratings,average_rating,book_url
The Sound and the Fury,,['William Faulkner'],0099475014,"['Classics', 'Fiction', 'Literature', 'Novels', 'American', '20th Century', 'Gothic', 'Southern Gothic', 'Literary Fiction', 'Southern', 'Academic', 'School']","The tragedy of the Compson family features some of the most memorable characters in literature: beautiful, rebellious Caddy; the manchild Benjy; haunted, neurotic Quentin; Jason, the brutal cynic; and Dilsey, their black servant. Their lives fragmented and harrowed by history and legacy, the character’s voices and actions mesh to create what is arguably Faulkner’s masterpiece and one of the greatest novels of the twentieth century.",366,1929,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433089995l/10975.jpg,"165,621",3.86,https://www.goodreads.com/book/show/310459.Roll_of_Thunder_Hear_My_Cry
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,,['E.L. Konigsburg'],9780744583274,"['Fiction', 'Childrens', 'Young Adult', 'Middle Grade', 'Mystery', 'Classics', 'Realistic Fiction', 'Adventure', 'Juvenile', 'Academic', 'School']","When suburban Claudia Kincaid decides to run away, she knows she doesn’t just want to run from somewhere, she wants to run to somewhere — to a place that is comfortable, beautiful, and, preferably, elegant. She chooses the Metropolitan Museum of Art in New York City. Knowing her younger brother Jamie has money and thus can help her with a serious cash-flow problem, she invites him along.Once settled into the museum, Claudia and Jamie find themselves caught up in the mystery of an angel statue that the museum purchased at auction for a bargain price of $225. The statue is possibly an early work of the Renaissance master, Michelangelo, and therefore worth millions. Is it? Or isn’t it?Claudia is determined to find out. Her quest leads her to Mrs. Basil E. Frankweiler, the remarkable old woman who sold the statue, and to some equally remarkable discoveries about herself.",178,1967,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327784751l/3980.jpg,"200,859",4.14,https://www.goodreads.com/book/show/310459.Roll_of_Thunder_Hear_My_Cry
Twenty Thousand Leagues Under the Sea,The Extraordinary Voyages  #6,"['Jules Verne', 'Anthony Bonner', 'Jakob Gunnarsson']",9780760728505,"['Classics', 'Science Fiction', 'Fiction', 'Adventure', 'Fantasy', 'Cultural', 'France', 'Literature', 'Steampunk', 'Novels', 'Classic Literature']","When an unidentified “monster” threatens international shipping, French oceanographer Pierre Aronnax and his unflappable assistant Conseil join an expedition organized by the US Navy to hunt down and destroy the menace. After months of fruitless searching, they finally grapple with their quarry, but Aronnax, Conseil, and the brash Canadian harpooner Ned Land are thrown overboard in the attack, only to find that the “monster” is actually a futuristic submarine, the Nautilus, commanded by a shadowy, mystical, preternaturally imposing man who calls himself Captain Nemo. Thus begins a journey of 20,000 leagues—nearly 50,000 miles—that will take Captain Nemo, his crew, and these three adventurers on a journey of discovery through undersea forests, coral graveyards, miles-deep trenches, and even the sunken ruins of Atlantis. Jules Verne’s novel of undersea exploration has been captivating readers ever since its first publication in 1870, and Frederick Paul Walter’s reader-friendly, scientifically meticulous translation of this visionary science fiction classic is complete and unabridged down to the smallest substantive detail.",394,1869,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1494979127l/33507.jpg,"219,390",3.89,https://www.goodreads.com/book/show/310459.Roll_of_Thunder_Hear_My_Cry
,None,None,,[],None,None,1895,,,,,https://www.goodreads.com/book/show/310459.Roll_of_Thunder_Hear_My_Cry
Stargirl,Stargirl #1,['Jerry Spinelli'],9780439488402,"['Young Adult', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Romance', 'Childrens', 'Middle Grade', 'Teen', 'Academic', 'School', 'Coming Of Age']","A celebration of nonconformity; a tense, emotional tale about the fleeting, cruel nature of popularity--and the thrill and inspiration of first love. Ages 12+Leo Borlock follows the unspoken rule at Mica Area High School: don't stand out--under any circumstances! Then Stargirl arrives at Mica High and everything changes--for Leo and for the entire school. After 15 years of home schooling, Stargirl bursts into tenth grade in an explosion of color and a clatter of ukulele music, enchanting the Mica student body.But the delicate scales of popularity suddenly shift, and Stargirl is shunned for everything that makes her different. Somewhere in the midst of Stargirl's arrival and rise and fall, normal Leo Borlock has tumbled into love with her.In a celebration of nonconformity, Jerry Spinelli weaves a tense, emotional tale about the fleeting, cruel nature of popularity--and the thrill and inspiration of first love.",186,2000,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1335947642l/22232.jpg,"315,764",3.76,https://www.goodreads.com/book/show/310459.Roll_of_Thunder_Hear_My_Cry
Little House on the Prairie,Little House #3,"['Laura Ingalls Wilder', 'Garth Williams']",1405264144,"['Classics', 'Historical', 'Historical Fiction', 'Childrens', 'Fiction', 'Young Adult', 'Middle Grade', 'Juvenile', 'Family', 'Adventure']","Meet Laura Ingalls, the little girl who would grow up to write the Little House books.Pa Ingalls decides to sell the little log house, and the family sets out for Indian country! They travel from Wisconsin to Kansas, and there, finally, Pa builds their little house on the prairie. Sometimes farm life is difficult, even dangerous, but Laura and her family are kept busy and are happy with the promise of their new life on the prairie.LITTLE HOUSE ON THE PRAIRIE is the second book in the Laura Years series.--back cover",335,1935,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559209202l/77767._SX318_.jpg,"271,568",4.19,https://www.goodreads.com/book/show/310459.Roll_of_Thunder_Hear_My_Cry
"Finding Hope in the Darkness of Grief: Spiritual Insights Expressed Through Art, Poetry and Prose",,['Diamante Lavendar'],9781982205683,"['Contemporary', 'Fiction', 'Novels', 'Drama', 'Book Club', 'Epic', 'Adult', 'Poetry', 'New Adult', 'Young Adult']","Written to honor Diamante's children in Heaven, Finding Hope In The Darkness Of Grief is a recipient of five awards to date for Poetry, Religion/Spirituality, Inspiration and Gift Book.This earthly plane offers much for us to learn: happiness, wisdom, loss, heartbreak, and enlightenment. It is a Pandoras box of emotions, situations, opportunities, and failures, all wrapped into a package we call life. Nobody is immune, but everyone has the opportunity to grow tall or wither like a flower in harsh light. Its completely up to us how we choose to respond. Finding Hope in the Darkness of Grief is a gleaning of insights from artist Diamante Lavender. For her, life has been a long, difficult road, but it has taught many poignant lessons. Her poetry collection is an exploration of the human soul, a traversing of situations that life throws at us. Diamante has always been intrigued by the ability to overcome and move on to bigger and better things. She writes to encourage hope and possibility in those who read her stories. If she can help others heal, as she has, then Diamantes work as an author and artist will have been well spent. She believes that everyone should try to leave a positive mark on the world, to make it a better place for all. Writing is the way that she is attempting to leave her markone story at a time.",74,2018,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529574245l/40593473.jpg,"5,349",4.33,https://www.goodreads.com/book/show/310459.Roll_of_Thunder_Hear_My_Cry
,None,None,,[],None,None,1814,,,,,https://www.goodreads.com/book/show/310459.Roll_of_Thunder_Hear_My_Cry
My Ántonia,Great Plains Trilogy #3,['Willa Cather'],9781583485095,"['Classics', 'Fiction', 'Historical', 'Historical Fiction', 'Literature', 'Academic', 'School', 'American', 'Novels', 'Adult Fiction', 'Literary Fiction']","Through Jim Burden's endearing, smitten voice, we revisit the remarkable vicissitudes of immigrant life in the Nebraska heartland, with all its insistent bonds. Guiding the way are some of literature's most beguiling characters: the Russian brothers plagued by memories of a fateful sleigh ride, Antonia's desperately homesick father and self-indulgent mother, and the coy Lena Lingard. Holding the pastoral society's heart, of course, is the bewitching, free-spirited Antonia.",232,1918,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389151307l/17150.jpg,"126,260",3.81,https://www.goodreads.com/book/show/310459.Roll_of_Thunder_Hear_My_Cry
Pippi Longstocking,Pippi Långstrump #1,"['Astrid Lindgren', 'Florence Lamborn', 'Louis S. Glanzman']",9780142402498,"['Classics', 'Childrens', 'Fiction', 'Middle Grade', 'Young Adult', 'Fantasy', 'Humor', 'Adventure', 'Juvenile', 'Chapter Books']",,160,1945,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1519300455l/19302._SX318_.jpg,"182,096",4.13,https://www.goodreads.com/book/show/310459.Roll_of_Thunder_Hear_My_Cry
The War of the Worlds,,"['H.G. Wells', 'Arthur C. Clarke']",9780375759239,"['Classics', 'Science Fiction', 'Fiction', 'Fantasy', 'Science Fiction Fantasy', 'Horror', 'Literature', 'Audiobook', 'Novels', 'Aliens']","When an army of invading Martians lands in England, panic and terror seize the population. As the aliens traverse the country in huge three-legged machines, incinerating all in their path with a heat ray and spreading noxious toxic gases, the people of the Earth must come to terms with the prospect of the end of human civilization and the beginning of Martian rule.Inspiring films, radio dramas, comic-book adaptations, television series and sequels,The War of the Worlds is a prototypical work of science fiction which has influenced every alien story that has come since, and is unsurpassed in its ability to thrill, well over a century since it was first published.",192,1897,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320391644l/8909.jpg,"269,190",3.83,https://www.goodreads.com/book/show/310459.Roll_of_Thunder_Hear_My_Cry
