title,series,authors,isbn,genres,description,pages,year,language,cover_image,total_number_ratings,average_rating,book_url
Pornography: Men Possessing Women,,['Andrea Dworkin'],9780452267930,"['Feminism', 'Nonfiction', 'Politics', 'Gender', 'Womens', 'Sexuality', 'Philosophy', 'Sociology', 'Theory', 'Gender Studies']",,336,1981,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1214098499l/163256.jpg,"1,076",3.85,https://www.goodreads.com/book/show/6621424-twenty-five-years-ago-today
Eight of Jacks,,['T.D. McMichael'],9780615539553,[],"The debut novel of both Lieutenant Dominica Vasquez, of DCPJ, and Rayna Salinger, a brilliant computer hacker with no memory of her past.A famous 16th century murder sparks an ingenious race to stop a madman before he kills again.PARIS -- An obscure message written in blood adorns the body of Jack's Eighth -- a prostitute found floating in the Seine.Europol's top expert is adamant: This isn't going to stop. Jack wants to play a little game with Vasquez. An outcast within DCPJ, she decides to enlist the help of César Prada -- a small-time criminal informant -- whose unlikely expertise on the works of William Shakespeare guides them through a labyrinthine maze of snitches, drug dealers, and prostitutes... International espionage, and, above all, Human Trafficking -- on a collision course with a mysterious organization known only as...THE SCHOOL OF NIGHT.There are figures haunting Salinger's dreams, mysterious assassins who reside within the doorways of her mind. Growing is the knowledge that she may be one of them: Acheron. A genius-level IT expert with ungodly skills.Eight of Jacks is a thriller about women. Specifically two women, who don't take jack from anyone.",0,2011,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327873157l/12690450.jpg,14,4.07,https://www.goodreads.com/book/show/6621424-twenty-five-years-ago-today
,None,None,,[],None,None,1938,,,,,https://www.goodreads.com/book/show/6621424-twenty-five-years-ago-today
"Awaken the Giant Within: How to Take Immediate Control of Your Mental, Emotional, Physical and Financial Destiny!",,"['Tony Robbins', 'Anthony Robbins', 'Frederick L. Covan']",9780671791544,"['Self Help', 'Nonfiction', 'Personal Development', 'Psychology', 'Business', 'Productivity', 'Leadership', 'Audiobook', 'Philosophy', 'Economics', 'Finance']","Wake up and take control of your life! From the bestselling author ofInner Strength,Unlimited Power, andMONEYMaster the Game,Anthony Robbins, the nation's leader in the science of peak performance, shows you his most effective strategies and techniques for mastering your emotions, your body, your relationships, your finances, and your life.The acknowledged expert in the psychology of change, Anthony Robbins provides a step-by-step program teaching the fundamental lessons of self-mastery that will enable you to discover your true purpose, take control of your life, and harness the forces that shape your destiny.",544,1992,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1415677371l/180116.jpg,"63,467",4.13,https://www.goodreads.com/book/show/6621424-twenty-five-years-ago-today
George's Marvellous Medicine,,"['Roald Dahl', 'Quentin Blake']",9780224064903,"['Childrens', 'Fiction', 'Fantasy', 'Classics', 'Middle Grade', 'Young Adult', 'Humor', 'Novels', 'Chapter Books', 'Audiobook']","George's Grandma is a grizzly, grumpy, selfish old woman with pale brown teeth and a small puckered up mouth like a dog's bottom. Four times a day she takes a large spoonful of medicine, but it doesn't seem to do her any good. She's always just as poisonous after she's taken it as she was before. When George is left to look after her one morning, it's just the chance he needs . . .",120,1981,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348265460l/74532.jpg,"82,230",4.02,https://www.goodreads.com/book/show/6621424-twenty-five-years-ago-today
Mildred Pierce,,['James M. Cain'],9780752852041,"['Fiction', 'Classics', 'Mystery', 'Noir', 'Historical', 'Historical Fiction', 'Crime', 'Novels', 'Literature', '20th Century', 'Audiobook']","Mildred Pierce had gorgeous legs, a way with a skillet, and a bone-deep core of toughness and determination. She used those attributes to survive a divorce in 1940s America with two children and to claw her way out of poverty, becoming a successful businesswoman. But Mildred also had two weaknesses: a yen for shiftless men and an unreasoning devotion to her monstrous daughter.Out of these elements, Cain created a novel (later made into a film noir classic) of acute social observation and devastating emotional violence—and a heroine whose ambitions and sufferings are never less than recognizable.",288,1941,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1171477039l/101205._SY475_.jpg,"8,728",3.93,https://www.goodreads.com/book/show/6621424-twenty-five-years-ago-today
Tom's Midnight Garden,,"['Philippa Pearce', 'Susan Einzig']",9780064404457,"['Fantasy', 'Childrens', 'Classics', 'Fiction', 'Science Fiction', 'Time Travel', 'Middle Grade', 'Young Adult', 'Historical', 'Historical Fiction', 'Adventure']","Lying awake at night, Tom hears the old grandfather clock downstairs strike . . . eleven . . . twelve . . . thirteen . . . Thirteen! When Tom gets up to investigate, he discovers a magical garden. A garden that everyone told him doesn't exist. A garden that only he can enter . . .A Carnegie-Medal-winning modern classic that's magically timeless.",240,1958,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348198004l/543086.jpg,"25,648",4.04,https://www.goodreads.com/book/show/6621424-twenty-five-years-ago-today
Starters,Starters #1,['Lissa Price'],9780385742375,"['Young Adult', 'Science Fiction', 'Dystopia', 'Fantasy', 'Romance', 'Fiction', 'Apocalyptic', 'Post Apocalyptic', 'Teen', 'Mystery', 'Futuristic']","HER WORLD IS CHANGED FOREVERCallie lost her parents when the Spore Wars wiped out everyone between the ages of twenty and sixty. She and her little brother, Tyler, go on the run, living as squatters with their friend Michael and fighting off renegades who would kill them for a cookie. Callie's only hope is Prime Destinations, a disturbing place in Beverly Hills run by a mysterious figure known as the Old Man.He hires teens to rent their bodies to Enders—seniors who want to be young again. Callie, desperate for the money that will keep her, Tyler, and Michael alive, agrees to be a donor. But the neurochip they place in Callie's head malfunctions and she wakes up in the life of her renter, living in her mansion, driving her cars, and going out with a senator's grandson. It feels almost like a fairy tale, until Callie discovers that her renter intends to do more than party—and that Prime Destinations' plans are more evil than Callie could ever have imagined. . . .",352,2012,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358435131l/11861062.jpg,"41,774",3.89,https://www.goodreads.com/book/show/6621424-twenty-five-years-ago-today
The Divine Heart of God the Father,,['Marcelle Bartolo-Abela'],9780983715290,"['Religion', 'Spirituality', 'Nonfiction', 'God']","In this book an intimate portrayal of God the Father and His Divine Heart is provided through brief narratives. Topics include how our Father is in relationship with us, the inestimable beauty of His Majesty; His sweetness, softness, gentleness and tenderness as Almighty Father. His profound thirst for union with us, deep sorrow at our distance and urgent call for us to return to live in His Infinite Love. The process of union with God the Father from the heart of our souls to the Core of His Divine Heart is described, from the context of the New Israel and intersecting relationships with the Sacred Heart of Jesus Christ, Immaculate Heart of Mary, the Holy Spirit and the Heart of the Holy Trinity. The tapestry of interplay between our Father's Divine Heart, Will and infinite love is explained, while the upcoming reign of the Father in the Eucharistic Era of the Holy Spirit is introduced.",106,2011,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1346704677l/15982243.jpg,11,4.18,https://www.goodreads.com/book/show/6621424-twenty-five-years-ago-today
Girlfriend in a Coma,,['Douglas Coupland'],9780060987329,"['Fiction', 'Cultural', 'Canada', 'Contemporary', 'Science Fiction', 'Novels', 'Dystopia', 'Apocalyptic', 'Post Apocalyptic', 'Fantasy', 'Literature', 'Literary Fiction']","'What did Karen see that December night? What pictures of tomorrow could so disturb her that she would flee into a refuge of bottomless sleep? Why would she leave me?'It's 15th December, 1979, and Richard's girlfriend Karen has entered a deep coma. She only took a couple of valium washed down with a cocktail, but now she's locked away in suspended animation, oblivious to the passage of time. What if she were to wake up decades later - a 17-year-old girl in a distant future, a future where the world has gone dark?",288,1998,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386921543l/3384.jpg,"18,639",3.62,https://www.goodreads.com/book/show/6621424-twenty-five-years-ago-today
