title,series,authors,isbn,genres,description,pages,year,language,cover_image,total_number_ratings,average_rating,book_url
Supernova,Supernova Saga #1,['C.L. Parker'],9781612130361,"['Fantasy', 'Paranormal', 'Romance', 'Paranormal Romance', 'Young Adult', 'Ghosts', 'Humor', 'Contemporary']","As part of a chosen bloodline, Kerrigan Cruz has inherited a gift: supernatural powers which give her the ability to protect a person's free will from those who wish to alter destiny for their own design. After her grandmother's passing, Kerrigan meets Dominic Grayson, an alluring stranger with a secret of his own. Dominic has been cursed, touched by both darkness and light, and Kerrigan is the only one who can save him. In their world, only three things are certain: His curse. Her gift. Their destiny.",224,2011,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1304449130l/11283775.jpg,320,3.98,https://www.goodreads.com/book/show/13355410-issues-in-your-tissues
Be a Man: The Plaid Manifesto,,['Joshua Wisenbaker'],9781452824703,[],"America. The land of opportunity. The birthplace of the Ford truck, Lincoln, Washington, Edison, Babe Ruth and strip malls. We are the land of innovators and pioneers. America has gone from pioneer to pansy. When did we become a douche bag boot camp? What the hell happened? No more! The gauntlet has been thrown down. Be A Man! Discover your inner carnivore and eat a juicy steak straight off the fire. Climb a freak'n mountain. Drive a truck, environment be damned! Enter the wild with only a bow and arrow plus your trusty pocket knife. Understand the importance of giving your progeny a name of simplicity and power. Being a Man also incurs the responsibility of knowing what not to do as a man. Men do not pick out drapes. Men do not play the flute. Nor do men buy potpourri, shop together, or wear pajamas outside the house if at all. Above all else know that plaid is the manliest pattern in fashion. Plaid is not even fashion. It is the manifestation of order in an otherwise chaotic world that needs order. Pick up Be A Man: The Plaid Manifesto to fully appreciate what it means to Be A Man! Your inner pioneer is waiting.",104,2011,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348235218l/11049273.jpg,8,3.5,https://www.goodreads.com/book/show/13355410-issues-in-your-tissues
Tales of Wonder from the Garden State,,['Debbie Jones'],9780615417721,['Short Stories'],"Forget the New Jersey you think you know - the one crying out from over-development, heavy with strip malls, suburbs and the Jersey Turnpike. Travel back to the Garden State of Debbie Jones' youth. It's a place where peaches and lemons are free for the picking, a place where barefoot kids run in packs with local dogs, a place for the evening edition, the tire swing, the railroad trestle and the front porch. It is against this compelling and rich landscape that Jones cracks the veneer between the natural and supernatural. In Jones' Jersey, the extraordinary is ordinary for the people who live there and the Garden State is a place for all time that is about to change forever.",152,2011,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1300124342l/10392429._SX318_SY475_.jpg,13,3.62,https://www.goodreads.com/book/show/13355410-issues-in-your-tissues
Bloomsday: The Bostoniad,,['David B. Lentz'],9781453748473,"['Literature', 'Fiction', 'Contemporary']","This tragicomic epic brings to life in America the enduring masterpiece of Homer's ""Odyssey"" and the Irish saga of Joyce's ""Ulysses"" in a Father's Day in Boston after the Vietnam War in 1974. This new ""Bostoniad"" portrays the American immigrant descendants of Leopold and Molly Bloom, and Stephen Dedalus of Dublin. After Tim Finnegan's Irish wake Rudy and Penelope Bloom of Beacon Hill meet Harvard Professor, Dr. Thomas Dedalus. ""Bloomsday"" narrates in a pixilist style a chorus of New England voices blending to render new verses of the greatest epic of antiquity and the 20th century's most celebrated literary novel on the legendary wandering home of Odysseus after the fall of Troy.",352,2010,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390173484l/10503446._SX318_.jpg,20,4.2,https://www.goodreads.com/book/show/13355410-issues-in-your-tissues
The Snake Pit,,['Donna Dillon'],9781453838907,['Young Adult'],"It's always hard to be the new girl at school, but for Cinda, it's a nightmare. Born with a facial deformity, Cinda endures the taunts and teases of other students without complaint, until one girl takes bullying too far...way too far.",108,2010,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408933741l/9908761.jpg,47,4.64,https://www.goodreads.com/book/show/13355410-issues-in-your-tissues
,None,None,,[],None,None,2011,,,,,https://www.goodreads.com/book/show/13355410-issues-in-your-tissues
The Power to Never Give Up: When Life's Battles Become Our Greatest Testimonies,,['Amy Gatliff'],9781615664306,[],"'The greatest act of faith some days is to simply get up and face another day.' Have you ever tried to face life's challenges, only to feel weak, lonely, and discouraged at the end of the day? In The Power to Never Give Up, author Amy Gatliff shares her personal experiences of such challenges, and through her transparency and brutal honesty reveals the struggles and victories throughout her life. Amy's story will be an inspiration and encouragement for anyone who finds themselves facing challenges, such as disappointment, anger, death, and bankruptcy. Amy looks deep within her faith to find The Power to Never Give Up.",105,2010,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328019937l/10866213.jpg,15,4.67,https://www.goodreads.com/book/show/13355410-issues-in-your-tissues
Proof of Intent,Charley Sloan #4,"['William J. Coughlin', 'Walter Sorrells']",9780312986339,['Mystery'],"Charley Sloan isn't your typical lawyer. But then again, this isn't your typical case. When famous author and hometown hero Miles Dane is arrested for murdering his wife, it seems like an open-and-shut case. With no credible alibi, a mountain of physical evidence, and a motive of millions, it seems the prosecution's case is airtight.The police suspect that Dane had planned this crime many years ago--and made the mistake of writing it all down...in exact detail. Even Charley begins to question Dane's innocence. But Charley's own investigation gives him reason to believe that his client is being framed and that the real killer is using Dane's own bizarre imagination against him. But why isn't Dane speaking up? What secrets is he hiding?As the trial begins, it's still unclear where Miles Dane's wild imaginings stop and reality begins. Or whether he is committing the ultimate sacrifice in order to atone for something he did long ago. Only in the crucible of the final, fevered moments of trial will Charley finally put the pieces together and reveal the stunning truth...",320,2002,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390336131l/1604585.jpg,583,3.97,https://www.goodreads.com/book/show/13355410-issues-in-your-tissues
A Kidnapping in Milan: The CIA on Trial,,['Steve Hendricks'],9780393065817,"['Nonfiction', 'History', 'Cultural', 'International', 'War', 'Terrorism']","As propulsively readable as the best “true crime,”A Kidnapping in Milanis a potent reckoning with the realities of counterterrorism. In a mesmerizing page-turner, Steve Hendricks gives us a ground-level view of the birth and growth of international Islamist terrorist networks and of counterterrorism in action in Europe. He also provides an eloquent, eagle’s-eye perspective on the big questions of justice and the rule of law.“In Milan a known fact is always explained by competing stories,” Hendricks writes, but the stories that swirled around the February 2003 disappearance of the radical imam Abu Omar would soon point in one direction—to a covert action by the CIA. The police of Milan had been exploiting their wiretaps of Abu Omar for useful information before the taps went silent. The Americans were their allies in counterterrorism—would they have disrupted a fruitful investigation?In an extraordinary tale of detective versus spy, Italian investigators under the leadership of prosecutor Armando Spataro unraveled in embarrassing detail the “covert” action in which Abu Omar had been kidnapped and sent to be tortured in Egypt. Spataro—seasoned in prosecutions of the Mafia and the Red Brigades and a passionate believer in the rule of law—sought to try the kidnappers in absentia: the first-ever trial of CIA officers by a U.S. ally. An exemplary achievement in narrative nonfiction writing,A Kidnapping in Milanis at once a detective story, a history of the terrorist menace, and an indictment of the belief that man’s savagery against man can be stilled with more savagery yet.",320,2010,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348410300l/8252686.jpg,71,3.38,https://www.goodreads.com/book/show/13355410-issues-in-your-tissues
Until Forever,Women of Prayer #1,['Darlene Shortridge'],9781617392443,"['Romance', 'Christian', 'Christian Fiction', 'Fiction', 'Christian Romance', 'Contemporary Romance', 'Contemporary', 'Inspirational', 'Family', 'Drama']","It was something she would never forgive herself for…It wasn’t until lunchtime that Jessi remembered to call home. No answer. She tried calling several times while she ate her lunch. Still no answer. She closed her eyes and rested her arms and head on her desk. She breathed deeply, wishing she had remembered to call earlier.Until Forever is a story of a young family that is torn apart by the devastating effects of alcoholism. Can healing take place in a relationship when an unforgivable act is committed? Will Jessi's pain and Mark's guilt keep them apart forever, or will unforeseen circumstances bind them together?",270,2010,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1293733913l/10076846.jpg,660,4.0,https://www.goodreads.com/book/show/13355410-issues-in-your-tissues
Trailers,,['Kate le Vann'],9780670881383,[],"A debut novel featuring a group of housemates in a student house in Manchester, which tells of their ups and downs as they struggle to get on together, and fall in and out of love with each other. Grace, the protagonist, who suffers from a degenerative disorder which makes walking difficult, observes her friend's strengths and flaws.",0,1999,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1340390902l/2274993.jpg,29,3.31,https://www.goodreads.com/book/show/13355410-issues-in-your-tissues
,None,None,,[],None,None,,,,,,https://www.goodreads.com/book/show/13355410-issues-in-your-tissues
The Amaranth Enchantment,,['Julie Berry'],9781599903347,"['Fantasy', 'Young Adult', 'Romance', 'Fairy Tales', 'Magic', 'Fiction', 'Teen', 'Young Adult Fantasy', 'Historical', 'Historical Fiction', 'Adventure']","When Lucinda Chapdelaine was a small child, her parents left for the royal ball and never returned. Ever since, Lucinda has been stuck in perpetual servitude at her evil aunt's jewelry store. Then, on the very same day, a mysterious visitor and an even more bizarre piece of jewelry both enter the shop, setting in motion a string of twists and turns that will forever alter Lucinda's path.In this magical story filled with enchanting surprises, Lucinda will dance at the royal ball, fall under the Amaranth Witch's spell, avenge her parents' death, restore justice to a town that does not yet know the corrupt danger around them, and maybe - just maybe - Lucinda might capture the heart of a prince.",320,2009,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312064049l/3843654.jpg,"11,669",3.66,https://www.goodreads.com/book/show/13355410-issues-in-your-tissues
