title,series,authors,isbn,genres,description,pages,year,language,cover_image,total_number_ratings,average_rating,book_url
The Pity of It All: A Portrait of the German-Jewish Epoch 1743-1933,,['Amos Elon'],9780312422813,"['History', 'Nonfiction', 'Literature', 'Jewish', 'Cultural', 'Germany', 'Religion', 'Judaism', 'World War II', 'Holocaust', 'European History', 'Judaica', 'Biography']","As it's usually told, the story of the German Jews starts at the end, with their tragic demise in Hitler's Third Reich. Now, in this important work of historical restoration, Amos Elon takes us back to the beginning, chronicling a period of achievement and integration that at its peak produced a golden age second only to the Renaissance.Writing with a novelist's eye, Elon shows how a persecuted clan of cattle dealers and wandering peddlers was transformed into a stunningly successful community of writers, philosophers, scientists, tycoons and activists. He peoples his account with dramatic figures: Moses Mendelssohn, who entered Berlin in 1743 through the gate reserved for Jews and cattle, and went on to become ""the German Socrates;"" Heinrich Heine, beloved lyric poet who famously referred to baptism as the admission ticket to European culture; Hannah Arendt, whose flight from Berlin signaled the end of the German-Jewish idyll. Elon traces how this minority-never more than one percent of the population-came to be perceived as a deadly threat to national integrity, and he movingly demonstrates that this devastating outcome was uncertain almost until the end.A collective biography, full of depth and compassion,The Pity of It Allsummons up a splendid world and a dream of integration and tolerance that, despite all, remains the essential ennobling project of modernity.(less)",446,2002,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1435184199l/359142._SY475_.jpg,679,4.33,https://www.goodreads.com/book/show/11682486-the-search-for-artemis
Lady Luck,Colorado Mountain #3,['Kristen Ashley'],1538744368,"['Romance', 'Contemporary Romance', 'Contemporary', 'Romantic Suspense', 'Adult', 'Suspense', 'Adult Fiction', 'Erotica', 'Womens Fiction', 'Chick Lit', 'Mystery', 'Humor']","Is love in the cards?Since birth, Lexie Berry has had nothing but bad luck. Orphaned at an early age, she had a rough childhood and a boyfriend who was murdered. Now the beautiful, stylish Lexie is determined to change her luck and her life. But first she's got to make good on a promise: to pick up Ty Walker from prison. One look at the gorgeous ex-convict and Lexie knows she's in trouble-and already thinking about taking a walk on the wild side . . .For five years, Ty was imprisoned for a crime he didn't commit. Now he wants revenge on the people who framed him. Yet when the high-stakes poker player sees the leggy Lexie, he suddenly has other desires on his mind. Realizing that Ty is innocent, Lexie tries to stop his plan for vengeance and help him become a better man. But as Ty battles his inner demons, dirty cops and criminals plot to take him out. Can he and Lexie find a way to escape the past?",535,2011,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327912930l/12958487.jpg,"37,284",4.41,https://www.goodreads.com/book/show/11682486-the-search-for-artemis
Rock Chick Renegade,Rock Chick #4,['Kristen Ashley'],0615774237,"['Romance', 'Contemporary Romance', 'Contemporary', 'Humor', 'Romantic Suspense', 'Womens Fiction', 'Chick Lit', 'Suspense', 'Adult', 'Action', 'Fiction']","Jules has got a score to settle against the drug dealers of Denver. Vance has made it his mission that Jules won’t get dead while dishing out vigilante justice. Jules doesn’t have time for romance, she’s too busy saving the world and she enlists Zip (the gunstore owner), Heavy (an ex-PI) and Frank (a mysterious recluse) to help.The Rock Chicks of Fortnum’s Bookstore get involved to provide romantic advice and guidance, none of which Jules accepts at first. The Hot Bunch of Nightingale Investigations adopt Jules as one of their own. Even though Jules tries to hang on to her inner Head Crackin’ Mamma Jamma, the Rock Chicks; Hot Bunch; Jules’s long-suffering Uncle Nick; Jules’s friend the rotund, African-American, Jackie-O wannabe, May; and especially Vance will stop at nothing to wear her down.But Jules makes some bad guys pretty angry and one is dedicated to taking her out. Vance and the Hot Bunch have to pull out all the stops to keep her alive. At the same time, Jules and Vance learn the true meaning of home but once they find this precious entity they’ve been searching for all their lives, will Jules’s enemies tear it away?",449,2011,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328299907l/10813469.jpg,"31,893",4.45,https://www.goodreads.com/book/show/11682486-the-search-for-artemis
Eat Prey Love,Love at Stake #9,['Kerrelyn Sparks'],9780061958038,"['Romance', 'Paranormal Romance', 'Fantasy', 'Paranormal', 'Vampires', 'Shapeshifters', 'Urban Fantasy', 'Fiction', 'Werewolves', 'Supernatural']","Wanted: Bride. Must love children. Mortals need not apply.Carlos Panterra is looking for a mate, a woman who will love and care for the young orphans he's recently taken under his wing (or paw, as the case may be). When the shape shifter spies the beautiful Caitlyn, it's like sunshine amidst the darkness. At last, he's found the perfect woman, except...Caitlyn Whelan is mortal. Worse, her father is the head of a CIA agency bent on hunting the undead. Still, Caitlyn knows that Carlos is the man for her, shape shifter or not. So she jumps at the chance when her sister offers her a job to work with him, determined to show Carlos their attraction is more than just animal magnetism. But danger lurks in the night, and their unleashed, untamed passion might just get them both killed...",373,2010,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358729231l/7721198.jpg,"11,976",4.27,https://www.goodreads.com/book/show/11682486-the-search-for-artemis
Identity,,"['Milan Kundera', 'Linda Asher']",9780060930318,"['Fiction', 'Novels', 'European Literature', 'Czech Literature', 'Literature', 'Philosophy', 'Cultural', 'France', 'Contemporary', 'Classics', 'Literary Fiction', '20th Century']","There are situations in which we fail for a moment to recognize the person we are with, in which the identity of the other is erased while we simultaneously doubt our own. This also happens with couples--indeed, above all with couples, because lovers fear more than anything else ""losing sight"" of that loved one.With stunning artfulness in expanding and playing variations on the meaningful moment, Milan Kundera has made this situation--and the vague sense of panic it inspires--the very fabric of his novel. Here brevity goes hand in hand with intensity, and a moment of bewilderment marks the start of a labyrinthine journey during which the reader repeatedly crosses the border between the real and the unreal, between what occurs in the world outside, and what the mind creates in its solitude.Of all contemporary writers, only Kundera can transform such a hidden and disconcerting perception into the material for a novel, one of his finest, most painful, and most enlightening. Which, surprisingly, turns out to be a love story.",176,1997,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1410130249l/28635.jpg,"22,585",3.68,https://www.goodreads.com/book/show/11682486-the-search-for-artemis
Lark,Lark #1,['Erica Cope'],1482370050,"['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Paranormal Romance', 'Magic', 'Elves', 'Fairies', 'Fae', 'Urban Fantasy']","The last time she checked, Mia Carrington was pretty sure that she was a normal girl with a completely ordinary life.She goes to high school, has a crush on the gorgeous and mysterious new boy in town, and has strange dreams that she can’t help but feel are real somehow.Okay, so maybe she’s not all that normal after all.A freak accident changes Mia’s life forever when she is thrown into another world and left to deal with the revelation that she is the daughter of the King of the Light Elves. Throw in an ominous prophecy predicting that Mia will break a curse unleashing the Dark Elves on the world and well, things don’t look too good.There is danger lurking at every corner in this strange world and Mia isn’t sure who she can trust…The only thing she is certain of is that the Dark Elves know about her, and they will stop at nothing until they have her.",374,2013,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1357616279l/17226481.jpg,"2,669",3.83,https://www.goodreads.com/book/show/11682486-the-search-for-artemis
Rizq And Lawful Earnings,,['Darussalam'],,"['Religion', 'Islam']","Narrated by Umar Ibn al-Khattaab (May Allah be pleased with him), the Prophet (Peace be upon him) said:“If you put your faith completely in Allah, He will arrange for your sustenance in the same way as he provides for the bird. They go out in the morning with their stomachs empty and return filled in the evening.” (Tirmidhee)This book discusses the place of pride Islam gives to making lawful earnings and rizq through hard work and striving. It also looks at the contempt Islam places on begging and indolence. Then it looks at which earnings are lawful, which are not and the many ways by which wealth can increase while seeking the pleasure of Allah (Glorified and Exalted is He).",75,2014,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1379395566l/18513811.jpg,94,4.3,https://www.goodreads.com/book/show/11682486-the-search-for-artemis
"Through a Glass, Darkly",,"['Jostein Gaarder', 'Elizabeth Rokkan']",9781858817699,"['Fiction', 'Philosophy', 'Young Adult', 'Fantasy', 'Novels', 'European Literature', 'Scandinavian Literature', 'Childrens', 'Literature', 'Contemporary', 'Holiday', 'Christmas']","It's almost Christmas. Cecilia lies sick in bed as her family bustle around her to make her last Christmas as special as possible. Cecilia has cancer. An angel steps through her window. So begins a spirited and engaging series of conversations between Cecelia and her angel. As the sick girl thinks about her life and prepares for her death, she changes subtly, in herself and in her relationships with her family. Jostein Gaarder is a profoundly optimistic writer, who writes about death with wisdom, compassion and an enquiring mind. 'Through a Glass, Darkly' will not only bring comfort to the bereaved. It will move and amaze everyone who reads it.",176,1993,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1167711294l/25405._SY475_.jpg,"7,307",3.8,https://www.goodreads.com/book/show/11682486-the-search-for-artemis
"Enchanted, Inc.","Enchanted, Inc. #1",['Shanna Swendson'],9780345481252,"['Fantasy', 'Womens Fiction', 'Chick Lit', 'Romance', 'Paranormal', 'Urban Fantasy', 'Magic', 'Fiction', 'Paranormal Romance', 'Humor', 'Adult']","DON’T MESS WITH HEXESKatie Chandler had always heard that New York is a weird and wonderful place, but this small-town Texas gal had no idea how weird until she moved there. Everywhere she goes, she sees something worth gawking at and Katie is afraid she’s a little too normal to make a splash in the big city. Working for an ogre of a boss doesn’t help.Then, seemingly out of the blue, Katie gets a job offer from Magic, Spells, and Illusions, Inc., a company that tricks of the trade to the magic community. For MSI, Katie’s ordinariness is an asset.Lacking any bit of magic, she can easily spot a fake spell, catch hidden clauses in competitor’s contracts, and detect magically disguised intruders. Suddenly, average Katie is very special indeed.She quickly learns that office politics are even more complicated when your new boss is a real ogre, and you have a crush on the sexy, shy, ultra powerful head of the R&D department, who is so busy fighting an evil competitor threatening to sell black magic on the street that he seems barely to notice Katie. Now it’s up to Katie to pull off the impossible: save the world and–hopefully–live happily ever after.From the Trade Paperback edition.",320,2005,English,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328316560l/6478154.jpg,"12,473",3.85,https://www.goodreads.com/book/show/11682486-the-search-for-artemis
Pirates in Hell,Heroes in Hell #20,"['Janet E. Morris', 'Chris Morris', 'Joe Bonadonna', 'Andrew P. Weston', 'Nancy Asire', 'S.E. Lindberg', 'Paul Freeman', 'Larry Atchley Jr.', 'Jack William Finley', 'Michael H. Hanson', 'Rob Hinkle']",0997758449,"['Fantasy', 'Adventure', 'Pirates', 'Heroic Fantasy', 'Dark Fantasy']","Avast, ye readers! Here be Pyrates!Feast yer eyes on the cursed treasures before you! Hoist the skull 'n' crossbones! Walk the plank with hell's sorest losers! Join the damnedest buccaneers and privateers ever to sail infernal seas.Here be twelve tales of piracy spun by Janet Morris, Chris Morris, Nancy Asire, Paul Freeman, Larry Atchley Jr, Rob Hinkle, Michael H. Hanson, Joe Bonadonna, Andrew P. Weston, S.E. Lindberg, and Jack William Finley.Corsairs, freebooters and plunderers shiver their timbers and meet their fates as the devil's dupes learn why the deeper in hell you go, the colder it gets.[image]See the Heroes in Hell, 2017 Class Picture? Imagine all those timeless characters stuck in Hell struggling with their pasts, presents, and futures. It's a crazy mashup of historical fiction and fantasy!",439,2017,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1492010415l/34845365._SY475_.jpg,32,4.81,https://www.goodreads.com/book/show/11682486-the-search-for-artemis
